Year,name,team,position,games_played,minutes,adjusted_plus_minus_per_48,wins_produced_per_48,wins_produced,points_over_par_per_48,points_per_48,rebounds_per_48,assists_per_48
2005,Gilbert Arenas,WAS,1.7,80,3146.0,0.232,0.163,10.7,2.0,35.8,4.3,7.4
2005,LeBron James,CLE,3.0,79,3144.0,0.315,0.246,16.1,4.6,37.8,8.5,8.0
2005,Joe Johnson,ATL,2.4,82,3108.0,0.173,0.105,6.8,0.2,25.5,5.2,8.3
2005,Antawn Jamison,WAS,3.5,82,3091.0,0.226,0.115,7.4,0.5,26.1,11.9,2.5
2005,Shawn Marion,PHO,3.7,81,3075.0,0.434,0.305,19.5,6.4,27.6,15.0,2.2
2005,Kobe Bryant,LAL,1.7,80,3023.0,0.203,0.135,8.5,1.1,45.0,6.7,5.7
2005,Richard Jefferson,BRK,3.0,78,3016.0,0.304,0.236,14.8,4.3,24.2,8.5,4.7
2005,Elton Brand,LAC,4.3,79,3011.0,0.398,0.243,15.3,4.5,31.1,12.6,3.3
2005,Morris Peterson,TOR,2.1,82,2992.0,0.18,0.112,7.0,0.4,22.0,6.1,3.0
2005,Lamar Odom,LAL,3.8,80,2986.0,0.335,0.202,12.6,3.2,19.1,11.9,7.1
2005,Mike Bibby,SAC,1.0,82,2983.0,0.165,0.096,6.0,-0.1,27.8,3.9,7.1
2005,Ricky Davis,"BOS, MIN",2.5,78,2978.0,0.134,0.067,4.1,-1.0,24.4,5.7,6.4
2005,Pau Gasol,MEM,4.5,80,2931.0,0.347,0.193,11.8,2.9,26.7,11.7,6.1
2005,Ray Allen,OKC,1.9,78,2928.0,0.214,0.146,8.9,1.5,32.1,5.4,4.7
2005,Allen Iverson,PHI,1.1,72,2925.0,0.174,0.104,6.4,0.2,39.0,3.8,8.7
2005,Andre Iguodala,PHI,2.5,82,2912.0,0.284,0.216,13.1,3.6,16.6,7.9,4.2
2005,Dirk Nowitzki,DAL,4.0,81,2907.0,0.372,0.218,13.2,3.7,35.5,12.0,3.7
2005,Michael Redd,MIL,2.4,80,2893.0,0.206,0.139,8.4,1.2,33.6,5.7,3.8
2005,Paul Pierce,BOS,2.5,79,2880.0,0.263,0.195,11.7,3.0,35.3,8.8,6.2
2005,Dwight Howard,ORL,5.0,82,2831.0,0.382,0.228,13.5,4.0,21.9,17.3,2.1
2005,Cuttino Mobley,LAC,2.1,79,2799.0,0.143,0.075,4.4,-0.7,20.1,5.8,4.1
2005,Mike James,TOR,1.0,79,2796.0,0.203,0.134,7.8,1.1,27.5,4.5,7.9
2005,Jason Kidd,BRK,1.2,80,2794.0,0.39,0.321,18.7,6.9,18.3,10.0,11.5
2005,Chris Webber,PHI,4.5,75,2782.0,0.168,0.014,0.8,-2.7,26.2,12.8,4.4
2005,Raja Bell,PHO,2.3,79,2775.0,0.166,0.098,5.7,0.0,20.1,4.4,3.6
2005,Mehmet Okur,UTH,4.5,82,2765.0,0.282,0.128,7.4,0.9,25.6,12.9,3.4
2005,Kevin Garnett,MIN,4.0,76,2758.0,0.499,0.344,19.8,7.6,28.8,16.8,5.4
2005,Kirk Hinrich,CHI,1.6,81,2754.0,0.204,0.136,7.8,1.2,22.4,5.0,9.0
2005,Boris Diaw,PHO,4.4,81,2737.0,0.314,0.16,9.1,1.9,18.9,9.8,8.8
2005,Andre Miller,DEN,1.5,82,2734.0,0.24,0.171,9.8,2.3,19.8,6.2,11.8
2005,Brad Miller,SAC,5.0,79,2730.0,0.315,0.161,9.1,1.9,20.8,10.8,6.6
2005,Carmelo Anthony,DEN,3.3,80,2730.0,0.157,0.063,3.6,-1.1,37.3,6.9,3.8
2005,Chauncey Billups,DET,1.1,81,2728.0,0.348,0.278,15.8,5.6,26.3,4.4,12.3
2005,Jason Richardson,GSW,2.5,75,2724.0,0.19,0.122,6.9,0.7,30.7,7.7,4.1
2005,Vince Carter,BRK,2.1,79,2720.0,0.205,0.137,7.8,1.2,33.7,8.2,6.0
2005,Tayshaun Prince,DET,3.0,82,2715.0,0.187,0.12,6.8,0.6,20.4,6.1,3.3
2005,Ben Wallace,DET,4.5,82,2701.0,0.51,0.356,20.0,8.0,10.6,16.4,2.8
2005,Stephen Jackson,IND,2.5,81,2697.0,0.106,0.038,2.2,-1.9,23.7,5.6,4.0
2005,Dwyane Wade,MIA,2.0,75,2696.0,0.327,0.259,14.6,5.0,36.3,7.7,9.0
2005,Chris Paul,NOR,1.3,78,2677.0,0.338,0.269,15.0,5.3,22.6,7.2,11.0
2005,Shane Battier,MEM,3.4,81,2669.0,0.325,0.225,12.5,3.9,14.7,7.7,2.4
2005,Rashard Lewis,OKC,3.4,78,2642.0,0.24,0.135,7.4,1.1,28.5,7.1,3.3
2005,Steve Nash,PHO,1.0,79,2628.0,0.389,0.319,17.5,6.9,27.2,6.1,15.1
2005,Jason Terry,DAL,1.2,80,2626.0,0.208,0.139,7.6,1.2,25.1,2.9,5.6
2005,Richard Hamilton,DET,2.0,80,2625.0,0.12,0.053,2.9,-1.4,29.4,4.7,5.0
2005,Chris Bosh,TOR,4.7,70,2598.0,0.332,0.178,9.6,2.5,29.0,12.0,3.3
2005,Tim Duncan,SAS,4.4,80,2595.0,0.375,0.221,12.0,3.8,27.5,16.3,4.7
2005,Bruce Bowen,SAS,3.1,82,2594.0,0.214,0.134,7.2,1.1,11.5,5.9,2.3
2005,Rasheed Wallace,DET,4.5,80,2592.0,0.255,0.101,5.5,0.1,22.4,10.1,3.4
2005,Mike Dunleavy,,3.7,81,2578.0,0.172,0.04,2.2,-1.8,17.4,7.4,4.4
2005,Smush Parker,LAL,1.0,82,2562.0,0.211,0.141,7.5,1.3,17.6,5.1,5.7
2005,Al Harrington,ATL,4.5,76,2552.0,0.118,-0.037,-1.9,-4.2,26.5,9.8,4.5
2005,Tony Parker,SAS,1.1,80,2537.0,0.238,0.168,8.9,2.2,28.6,4.9,8.7
2005,Wally Szczerbiak,"BOS, MIN",2.5,72,2528.0,0.23,0.162,8.6,2.0,25.9,5.9,4.0
2005,Sam Cassell,LAC,1.0,78,2518.0,0.186,0.117,6.1,0.5,25.6,5.5,9.4
2005,Peja Stojakovic,"IND, SAC",2.8,71,2504.0,0.222,0.154,8.0,1.7,24.7,8.0,2.6
2005,Caron Butler,WAS,2.6,75,2482.0,0.203,0.135,7.0,1.1,25.5,9.0,3.6
2005,Derek Fisher,GSW,1.0,82,2480.0,0.189,0.12,6.2,0.7,21.1,4.1,6.8
2005,DeShawn Stevenson,ORL,2.1,82,2477.0,0.099,0.031,1.6,-2.1,17.4,4.7,3.1
2005,Hedo Turkoglu,ORL,3.5,78,2467.0,0.22,0.112,5.7,0.4,22.7,6.5,4.2
2005,Luol Deng,CHI,3.0,78,2432.0,0.268,0.2,10.1,3.1,21.9,10.2,2.9
2005,Chris Kaman,LAC,5.0,78,2423.0,0.303,0.149,7.5,1.6,18.5,14.9,1.6
2005,Mike Dunleavy,GSW,2.5,81,2421.0,0.176,0.108,5.4,0.3,18.5,7.9,4.7
