NAME,TM,POS,G,⬇M,AJP48,WP48,WP,POP48,PTS,REB,AST
Kevin Durant,OKC,3.1,81,3122,0.406,0.312,20.3,6.6,39.9,9.2,6.8
Monta Ellis,DAL,1.9,82,3023,0.139,0.057,3.6,-1.3,24.8,4.7,7.5
DeMar DeRozan,TOR,1.9,79,3017,0.166,0.084,5.3,-0.5,28.5,5.5,5.0
Carmelo Anthony,NYK,3.4,77,2982,0.259,0.134,8.3,1.1,34.0,10.0,3.9
John Wall,WAS,1.0,82,2980,0.227,0.146,9.1,1.5,25.5,5.4,11.6
Nicolas Batum,POR,3.0,82,2956,0.339,0.257,15.8,4.9,17.4,9.9,6.8
Damian Lillard,POR,1.0,82,2937,0.213,0.132,8.1,1.0,27.7,4.7,7.5
LeBron James,MIA,3.4,77,2902,0.424,0.3,18.1,6.3,34.6,8.8,8.1
Paul George,IND,3.0,80,2898,0.274,0.192,11.6,2.9,28.8,9.0,4.7
DeAndre Jordan,LAC,5.0,82,2870,0.531,0.341,20.4,7.5,14.3,18.6,1.2
Klay Thompson,GSW,2.0,81,2868,0.137,0.055,3.3,-1.4,24.9,4.2,3.0
Blake Griffin,LAC,4.0,80,2863,0.337,0.147,8.8,1.5,32.4,12.7,5.2
Kyle Lowry,TOR,1.0,79,2862,0.323,0.242,14.4,4.4,23.8,6.2,9.8
Stephen Curry,GSW,1.0,78,2846,0.356,0.276,16.3,5.5,31.6,5.6,11.2
Joakim Noah,CHI,5.0,80,2820,0.462,0.272,16.0,5.4,17.1,15.3,7.3
Jeff Green,BOS,2.8,82,2805,0.103,0.021,1.2,-2.4,23.6,6.5,2.4
Gordon Hayward,UTH,2.4,77,2800,0.186,0.104,6.1,0.2,21.4,6.7,6.9
Kevin Love,MIN,4.3,77,2797,0.453,0.263,15.3,5.1,34.5,16.5,5.9
Chandler Parsons,HOU,3.7,74,2783,0.238,0.076,4.4,-0.7,21.1,7.1,5.1
Wesley Matthews,POR,2.0,82,2780,0.22,0.138,8.0,1.2,23.2,5.0,3.4
James Harden,HOU,2.0,73,2777,0.305,0.223,12.9,3.9,32.0,5.9,7.7
Lance Stephenson,IND,2.1,78,2752,0.285,0.203,11.6,3.2,18.8,9.7,6.3
Josh Smith,DET,3.5,77,2730,0.1,-0.031,-1.7,-4.0,22.2,9.1,4.4
Brandon Jennings,DET,1.0,80,2728,0.152,0.071,4.0,-0.9,21.8,4.3,10.7
Trevor Ariza,WAS,3.0,77,2723,0.304,0.222,12.6,3.8,19.5,8.4,3.4
Thaddeus Young,PHI,4.0,79,2718,0.183,-0.007,-0.4,-3.3,25.0,8.4,3.2
Zach Randolph,MEM,4.0,79,2705,0.251,0.061,3.5,-1.2,24.3,14.1,3.5
Greg Monroe,DET,4.5,82,2690,0.292,0.103,5.7,0.1,22.3,13.6,3.1
Goran Dragic,PHO,1.0,76,2668,0.293,0.212,11.8,3.5,27.7,4.4,8.0
Serge Ibaka,OKC,4.0,81,2666,0.368,0.178,9.9,2.5,22.1,12.8,1.5
Marcin Gortat,WAS,5.0,81,2655,0.36,0.171,9.4,2.2,19.3,13.9,2.5
Ricky Rubio,MIN,1.1,82,2638,0.305,0.224,12.3,3.9,14.2,6.2,12.8
Dirk Nowitzki,DAL,4.0,80,2628,0.294,0.104,5.7,0.2,31.7,9.1,3.9
Andre Drummond,DET,5.0,81,2619,0.538,0.349,19.0,7.8,20.1,19.6,0.6
Kemba Walker,CHA,1.0,73,2614,0.179,0.098,5.4,0.0,23.7,5.6,8.2
Corey Brewer,MIN,3.0,81,2609,0.181,0.099,5.4,0.0,18.4,3.8,2.5
Robin Lopez,POR,5.0,82,2603,0.427,0.238,12.9,4.3,16.7,12.9,1.3
Tristan Thompson,CLE,4.0,82,2594,0.304,0.115,6.2,0.5,17.8,14.0,1.3
Jimmy Butler,CHI,1.0,67,2591,0.263,0.182,9.8,2.6,16.3,6.1,3.2
Mike Dunleavy,CHI,3.2,82,2584,0.225,0.124,6.7,0.8,17.3,6.4,3.5
