0,1,2,3,4,5,6,7,8
#,Unit,eFG,eFGA,FTA,Close,dClose,Reb,T/O
1,Wall-Temple-Dudley-Porter-Gortat,.460,.480,-10,22%,26%,50.0%,+2%
2,Wall-Beal-Dudley-Porter-Gortat,.490,.460,+7,26%,27%,49.5%,+3%
3,Wall-Beal-Porter-Morris-Gortat,.470,.450,+10,21%,21%,51.5%,-2%
4,Wall-Beal-Porter-Humphries-Gortat,.420,.460,+4,26%,28%,51.0%,-4%
5,Wall-Temple-Porter-Morris-Gortat,.450,.420,-36,20%,25%,49.5%,-2%
6,Wall-Temple-Dudley-Oubre-Gortat,.480,.450,-12,25%,27%,45.0%,-1%
7,Wall-Temple-Beal-Dudley-Gortat,.470,.450,+1,30%,28%,54.0%,+10%
8,Sessions-Beal-Porter-Morris-Gortat,.490,.490,+17,37%,26%,54.0%,0%
9,Sessions-Temple-Beal-Dudley-Nene,.540,.600,+6,36%,25%,42.5%,+6%
10,Wall-Temple-Porter-Nene-Gortat,.400,.470,-4,36%,31%,50.0%,+7%
11,Wall-Temple-Dudley-Porter-Nene,.510,.520,-19,22%,31%,46.5%,+14%
12,Wall-Sessions-Temple-Dudley-Gortat,.480,.330,-26,21%,25%,58.0%,+2%
13,Sessions-Neal-Temple-Dudley-Nene,.400,.360,+8,24%,26%,44.5%,+8%
14,Wall-Neal-Temple-Dudley-Gortat,.560,.470,-8,22%,18%,43.5%,-2%
15,Wall-Sessions-Dudley-Porter-Gortat,.450,.470,+2,22%,15%,45.5%,-4%
16,Wall-Temple-Porter-Humphries-Gortat,.450,.450,+10,26%,29%,54.0%,+4%
17,Wall-Sessions-Temple-Porter-Gortat,.490,.440,+5,26%,28%,50.5%,+10%
18,Wall-Beal-Porter-Nene-Gortat,.470,.490,+10,24%,24%,54.0%,+3%
19,Wall-Temple-Beal-Dudley-Nene,.460,.510,-14,27%,32%,42.0%,-5%
20,Wall-Temple-Porter-Morris-Nene,.530,.510,-9,25%,27%,54.5%,0%
