0,1,2,3,4,5,6,7,8
#,Unit,Min,Off,Def,+/-,W,L,Win%
1,Beal-Satoransky-Ariza-Green-Bryant,348.8,1.18,1.19,+1,12,12,50.0
2,Beal-Satoransky-Ariza-Green-Portis,244.3,1.10,1.12,-17,6,9,40.0
3,Beal-Satoransky-BrownJr.-Portis-Bryant,147.4,1.18,1.12,+19,5,4,55.5
4,Wall-Beal-PorterJr.-Morris-Howard,126.3,1.09,1.20,-32,2,6,25.0
5,Beal-Satoransky-PorterJr.-Ariza-Green,98.8,1.18,1.21,-9,5,8,38.4
6,Beal-Satoransky-PorterJr.-Ariza-Bryant,73.9,1.11,1.15,-13,5,7,41.6
7,Wall-Beal-OubreJr.-PorterJr.-Bryant,64.1,1.08,1.25,-26,2,5,28.5
8,Wall-Beal-PorterJr.-Morris-Mahinmi,58.7,1.09,1.07,+5,5,3,62.5
9,Wall-Beal-Satoransky-PorterJr.-Bryant,54.2,1.09,0.95,+16,3,1,75.0
10,Wall-Beal-OubreJr.-PorterJr.-Morris,52.0,1.10,1.15,-3,6,5,54.5
11,Wall-Beal-Ariza-Green-Bryant,49.2,0.97,1.09,-16,0,4,0.0
12,Wall-Beal-PorterJr.-Green-Morris,48.8,1.31,1.08,+20,6,1,85.7
13,Rivers-OubreJr.-Satoransky-Green-Mahinmi,45.2,1.03,0.97,+4,4,3,57.1
14,Rivers-OubreJr.-Satoransky-Green-Morris,44.0,1.18,1.20,-5,3,7,30.0
15,Wall-Beal-OubreJr.-Green-Morris,42.3,1.13,1.39,-21,3,7,30.0
16,Wall-Rivers-Beal-OubreJr.-Green,41.0,1.19,1.11,+9,3,6,33.3
17,Rivers-Beal-Satoransky-Green-Morris,39.6,1.22,1.34,-11,2,5,28.5
18,Randle-Beal-Ariza-Green-Bryant,38.8,1.04,1.16,-15,3,4,42.8
19,Randle-Satoransky-BrownJr.-Parker-Bryant,37.3,1.23,1.21,+0,3,3,50.0
20,Beal-Satoransky-Ariza-Green-Parker,36.0,1.19,1.16,+9,4,5,44.4
