Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0708,ATL,J.Johnson,84%,19.5,14.7,+4.8,-0.2,-10.0,+9.8,+6.8
0708,ATL,Smith,72%,21.4,16.2,+5.3,-0.6,-4.9,+4.3,+4.9
0708,ATL,Childress,57%,19.8,15.8,+4.0,-2.7,-0.6,-2.1,+1.5
0708,ATL,Lue,14%,14.4,17.3,-2.9,+1.8,-2.4,+4.1,-0.1
0708,ATL,A.Johnson,28%,13.8,15.5,-1.7,-0.2,-2.4,+2.2,-0.2
0708,ATL,Bibby,28%,16.9,20.0,-3.1,+0.2,-2.5,+2.7,-0.8
0708,ATL,Horford,64%,16.6,18.6,-2.0,-2.1,-1.2,-0.8,-1.5
0708,ATL,M.Williams,70%,16.4,18.4,-2.0,-2.8,+0.6,-3.5,-2.6
0708,ATL,S.Williams,10%,11.2,19.5,-8.2,+0.5,-2.0,+2.5,-3.9
0708,ATL,Stoudamire,10%,12.8,18.4,-5.6,-3.6,-1.6,-2.0,-4.1
0708,ATL,Wright,4%,4.5,11.9,-7.4,-2.3,-1.7,-0.5,-4.6
0708,ATL,Pachulia,24%,12.6,21.5,-8.9,-2.4,-1.6,-0.8,-5.7
0708,ATL,West,7%,9.8,20.5,-10.7,-7.3,-1.4,-6.0,-8.8
0708,ATL,Law,22%,8.8,19.4,-10.7,-6.7,-0.4,-6.3,-8.9
0708,ATL,Richardson,2%,6.8,19.3,-12.4,-13.0,-1.5,-11.5,-12.1
0708,ATL,Jones,4%,7.7,29.1,-21.4,-12.9,-1.3,-11.6,-17.5
