Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0708,LAC,Diaz,0%,11.1,-0.9,+12.0,+10.7,-7.3,+18.0,+14.4
0708,LAC,Fazekas,7%,22.2,17.6,+4.5,+2.6,-7.9,+10.5,+6.9
0708,LAC,Maggette,63%,21.9,15.9,+5.9,-4.5,-11.9,+7.3,+6.5
0708,LAC,Kaman,53%,19.9,17.7,+2.2,-4.3,-10.4,+6.1,+3.8
0708,LAC,Frahm,4%,6.6,8.3,-1.7,+1.5,-7.6,+9.1,+2.6
0708,LAC,Cassell,25%,19.0,17.2,+1.9,-4.5,-8.1,+3.6,+2.6
0708,LAC,Dickau,26%,14.2,19.3,-5.0,-3.1,-8.7,+5.5,-0.8
0708,LAC,Mobley,68%,13.1,13.7,-0.5,-7.8,-6.0,-1.8,-1.0
0708,LAC,Thomas,49%,14.1,19.5,-5.3,-5.2,-9.1,+3.9,-1.6
0708,LAC,Brand,7%,20.1,17.4,+2.7,-17.0,-6.5,-10.5,-2.6
0708,LAC,Patterson,8%,12.4,18.7,-6.3,-4.6,-7.5,+2.9,-2.6
0708,LAC,Thornton,54%,14.5,16.9,-2.4,-9.0,-5.1,-4.0,-3.0
0708,LAC,Knight,42%,13.0,19.6,-6.6,-9.6,-5.5,-4.1,-5.6
0708,LAC,Ross,38%,8.7,16.7,-8.0,-10.3,-5.4,-4.9,-6.8
0708,LAC,Powell,31%,12.2,21.2,-9.0,-12.5,-4.8,-7.7,-8.5
0708,LAC,Williams,8%,11.4,20.9,-9.5,-13.9,-6.6,-7.3,-8.6
0708,LAC,Parker,10%,9.0,25.8,-16.8,-7.5,-7.2,-0.3,-10.2
0708,LAC,Barrett,1%,13.9,15.6,-1.7,-32.3,-7.1,-25.2,-11.1
0708,LAC,Davis,5%,10.2,23.9,-13.7,-20.3,-6.6,-13.7,-13.7
