Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0708,NJN,Carter,75%,21.3,15.3,+6.0,-1.9,-14.1,+12.2,+8.5
0708,NJN,Thomas,0%,-10.4,-5.4,-5.0,+17.7,-5.1,+22.8,+6.1
0708,NJN,Harris,21%,18.9,17.3,+1.6,-1.5,-6.0,+4.5,+2.8
0708,NJN,Jefferson,81%,19.7,16.8,+2.9,-4.6,-6.8,+2.2,+2.6
0708,NJN,Kidd,48%,18.0,16.1,+1.9,-3.1,-6.8,+3.6,+2.6
0708,NJN,Swift,7%,14.4,17.2,-2.8,-4.9,-5.0,+0.2,-1.6
0708,NJN,Diop,10%,11.7,17.0,-5.3,-1.7,-5.4,+3.7,-1.7
0708,NJN,Boone,45%,16.6,20.7,-4.1,-4.0,-5.8,+1.8,-1.8
0708,NJN,S.Williams,32%,15.3,18.1,-2.8,-7.0,-4.1,-2.9,-2.9
0708,NJN,Wright,27%,9.4,13.1,-3.8,-7.8,-4.0,-3.8,-3.8
0708,NJN,Nachbar,42%,14.3,18.1,-3.8,-7.9,-3.0,-4.9,-4.2
0708,NJN,Armstrong,14%,10.0,13.2,-3.2,-10.2,-4.2,-6.0,-4.3
0708,NJN,Allen,19%,11.5,18.1,-6.6,-6.1,-4.8,-1.3,-4.5
0708,NJN,Gill,4%,13.6,19.2,-5.6,-11.7,-4.8,-6.9,-6.1
0708,NJN,M.Williams,22%,12.8,18.9,-6.1,-10.2,-3.6,-6.6,-6.3
0708,NJN,Krstic,20%,10.1,22.5,-12.5,-4.7,-5.1,+0.4,-7.3
0708,NJN,Hassell,8%,4.1,14.2,-10.1,-8.1,-4.8,-3.3,-7.3
0708,NJN,Magloire,7%,2.4,17.2,-14.8,-2.8,-5.2,+2.4,-7.9
0708,NJN,Collins,17%,2.4,17.2,-14.8,-5.4,-4.9,-0.5,-9.1
0708,NJN,Ager,2%,8.4,21.5,-13.0,-14.2,-4.8,-9.4,-11.6
