Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
0708,SEA,Dupree,0%,20.6,18.3,+2.3,+11.0,-8.8,+19.7,+9.3
0708,SEA,Szczerbiak,30%,17.8,14.1,+3.7,-0.6,-12.1,+11.6,+6.8
0708,SEA,Griffin,2%,10.4,7.8,+2.7,-1.1,-8.9,+7.7,+4.7
0708,SEA,Sene,2%,20.2,15.3,+5.0,-7.0,-8.7,+1.8,+3.7
0708,SEA,Gill,0%,-22.2,-13.0,-9.2,+10.7,-8.7,+19.4,+2.2
0708,SEA,Wilcox,44%,18.3,19.1,-0.8,-5.0,-11.5,+6.5,+2.1
0708,SEA,Thomas,27%,17.8,20.8,-3.0,-4.6,-10.2,+5.6,+0.4
0708,SEA,Collison,56%,16.8,18.7,-1.8,-7.8,-9.9,+2.1,-0.2
0708,SEA,Gelabale,12%,12.0,17.3,-5.4,-3.8,-9.3,+5.5,-1.0
0708,SEA,Ridnour,31%,12.8,16.9,-4.1,-6.5,-9.7,+3.2,-1.2
0708,SEA,Watson,57%,16.4,18.3,-2.0,-9.2,-8.0,-1.2,-1.7
0708,SEA,West,18%,11.4,15.6,-4.2,-7.6,-8.9,+1.3,-2.0
0708,SEA,Durant,70%,18.0,16.0,+1.9,-11.3,-2.6,-8.8,-2.3
0708,SEA,Wilkins,46%,12.8,16.6,-3.8,-11.6,-6.2,-5.5,-4.4
0708,SEA,Petro,33%,11.5,19.7,-8.1,-10.5,-7.8,-2.7,-6.0
0708,SEA,Green,57%,11.2,18.5,-7.2,-10.8,-5.9,-4.9,-6.3
0708,SEA,Elson,7%,4.5,16.0,-11.5,-20.1,-7.8,-12.3,-11.8
0708,SEA,Swift,2%,3.4,16.2,-12.8,-20.7,-8.4,-12.3,-12.6
0708,SEA,Marshall,5%,12.4,24.2,-11.8,-23.7,-8.0,-15.8,-13.4
0708,SEA,Wilks,1%,22.3,34.0,-11.7,-28.2,-8.6,-19.6,-14.9
0708,SEA,Newble,0%,1.1,29.0,-27.9,-47.9,-8.5,-39.4,-32.5
