Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0809,BOS,Giddens,0%,30.3,0.0,+30.3,+6.3,+7.4,-1.1,+17.7
0809,BOS,Garnett,45%,23.9,13.5,+10.4,+12.8,+3.1,+9.8,+10.1
0809,BOS,R.Allen,72%,19.2,12.7,+6.6,+10.5,-0.6,+11.1,+8.4
0809,BOS,Rondo,66%,21.0,15.3,+5.7,+9.3,+3.7,+5.6,+5.6
0809,BOS,Pierce,76%,19.8,13.6,+6.2,+8.3,+4.6,+3.7,+5.2
0809,BOS,Powe,31%,19.2,16.1,+3.1,+7.4,+7.5,-0.1,+1.8
0809,BOS,House,37%,17.3,13.4,+3.9,+6.2,+8.1,-1.9,+1.6
0809,BOS,T.Allen,22%,14.5,10.2,+4.3,+5.4,+8.0,-2.6,+1.5
0809,BOS,Perkins,57%,14.9,16.4,-1.5,+7.1,+7.8,-0.7,-1.2
0809,BOS,Pruitt,9%,8.7,12.3,-3.6,+0.8,+8.1,-7.3,-5.1
0809,BOS,Scalabrine,13%,8.5,19.3,-10.9,+10.1,+7.1,+3.0,-5.3
0809,BOS,Davis,41%,12.2,18.2,-6.0,+2.8,+10.7,-7.9,-6.8
0809,BOS,Moore,11%,10.6,20.6,-10.0,+0.9,+8.3,-7.3,-8.9
0809,BOS,Marbury,10%,5.1,13.9,-8.7,-3.2,+8.7,-11.9,-10.0
0809,BOS,O'Bryant,3%,11.0,21.9,-10.9,-2.7,+7.7,-10.4,-10.7
0809,BOS,Walker,5%,12.3,22.7,-10.3,-13.4,+8.6,-22.0,-15.0
