Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0809,CHA,Wallace,67%,20.7,14.7,+6.0,+0.9,-5.6,+6.5,+6.2
0809,CHA,Hollins,5%,16.9,16.7,+0.2,+10.4,-1.8,+12.2,+5.0
0809,CHA,Okafor,68%,19.9,17.6,+2.3,+0.4,-4.8,+5.2,+3.5
0809,CHA,Felton,77%,15.3,14.0,+1.3,+0.0,-5.6,+5.6,+3.0
0809,CHA,Diaw,56%,16.6,15.7,+0.9,+1.4,-4.6,+6.0,+2.9
0809,CHA,Augustin,48%,16.5,15.6,+1.0,-1.0,-1.5,+0.4,+0.8
0809,CHA,Bell,40%,13.0,15.6,-2.6,+1.5,-3.1,+4.6,+0.3
0809,CHA,Richardson,12%,17.6,17.3,+0.4,-4.2,-0.8,-3.4,-1.1
0809,CHA,Martin,7%,10.4,17.2,-6.8,+3.6,-1.6,+5.2,-2.0
0809,CHA,Dudley,11%,11.8,15.3,-3.5,-3.7,-1.0,-2.7,-3.2
0809,CHA,Radmanovic,17%,11.5,17.9,-6.3,-1.4,-1.2,-0.1,-3.9
0809,CHA,Diop,15%,11.5,16.1,-4.5,-6.5,-0.4,-6.1,-5.2
0809,CHA,Ajinca,5%,8.3,18.9,-10.7,+1.6,-1.4,+3.0,-5.2
0809,CHA,Carroll,12%,8.1,15.8,-7.7,-7.6,-0.4,-7.2,-7.5
0809,CHA,Howard,11%,12.2,18.5,-6.3,-10.8,-0.0,-10.7,-8.1
0809,CHA,Jefferson,2%,14.3,21.2,-6.9,-11.5,-1.0,-10.4,-8.3
0809,CHA,S.Brown,9%,13.0,20.2,-7.2,-10.9,-0.3,-10.5,-8.5
0809,CHA,Mohammed,9%,8.7,19.8,-11.1,-6.3,-0.8,-5.5,-8.9
0809,CHA,A.Brown,2%,4.3,19.5,-15.2,-1.0,-1.3,+0.2,-9.0
0809,CHA,Morrison,17%,6.8,17.8,-11.1,-7.0,-0.1,-7.0,-9.4
0809,CHA,Singletary,5%,6.3,19.5,-13.2,-12.5,-0.7,-11.7,-12.6
0809,CHA,May,8%,7.2,18.6,-11.4,-14.8,-0.1,-14.7,-12.7
