Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0809,NOH,Paul,76%,33.5,15.2,+18.3,+5.6,-11.2,+16.8,+17.7
0809,NOH,West,75%,21.3,16.6,+4.7,+3.5,-4.6,+8.2,+6.1
0809,NOH,Chandler,37%,15.1,16.7,-1.6,+6.5,-1.3,+7.8,+2.1
0809,NOH,Stojakovic,53%,14.2,15.7,-1.5,+4.7,-2.0,+6.8,+1.8
0809,NOH,Wright,19%,14.3,13.8,+0.5,+0.3,+1.8,-1.5,-0.3
0809,NOH,Peterson,13%,12.3,15.6,-3.3,+0.1,+1.8,-1.7,-2.7
0809,NOH,Posey,54%,12.4,16.3,-3.8,+1.1,+2.1,-1.0,-2.7
0809,NOH,Brown,22%,11.0,16.5,-5.5,+0.2,+1.9,-1.8,-4.0
0809,NOH,Butler,66%,13.3,16.9,-3.6,-0.3,+5.2,-5.5,-4.4
0809,NOH,Bowen,6%,12.0,17.1,-5.1,-4.4,+1.9,-6.3,-5.6
0809,NOH,Daniels,19%,14.3,16.0,-1.6,-10.0,+4.2,-14.2,-6.7
0809,NOH,Marks,21%,10.1,17.7,-7.6,-2.8,+2.7,-5.5,-6.8
0809,NOH,Armstrong,28%,12.1,22.3,-10.2,-3.3,+3.4,-6.7,-8.8
0809,NOH,Ely,9%,6.9,21.1,-14.2,-3.6,+2.1,-5.7,-10.8
0809,NOH,James,2%,6.8,9.0,-2.1,-31.9,+2.2,-34.1,-14.9
