Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0809,NYK,Nichols,0%,18.2,-12.3,+30.4,-11.0,-2.6,-8.4,+14.9
0809,NYK,Sene,0%,38.1,16.8,+21.3,+0.0,-2.6,+2.6,+13.8
0809,NYK,Sims,0%,21.5,20.1,+1.4,+8.5,-2.6,+11.1,+5.3
0809,NYK,Robinson,56%,20.9,16.7,+4.2,+0.2,-6.1,+6.3,+5.0
0809,NYK,James,0%,14.4,8.1,+6.3,+0.0,-2.6,+2.6,+4.8
0809,NYK,Crawford,10%,17.1,14.6,+2.5,-0.3,-2.9,+2.5,+2.5
0809,NYK,Randolph,10%,22.2,17.2,+5.0,-3.8,-2.5,-1.4,+2.5
0809,NYK,Thomas,20%,14.9,15.9,-0.9,+2.0,-3.7,+5.8,+1.8
0809,NYK,Gallinari,10%,14.8,18.2,-3.4,+5.8,-3.6,+9.4,+1.7
0809,NYK,Harrington,60%,18.3,19.2,-0.8,-1.0,-5.0,+4.0,+1.1
0809,NYK,Lee,71%,21.3,20.8,+0.4,-3.4,-0.7,-2.7,-0.8
0809,NYK,Richardson,48%,13.0,17.1,-4.1,-2.8,-2.4,-0.4,-2.6
0809,NYK,Duhon,73%,13.6,17.3,-3.8,-3.6,+0.3,-3.9,-3.8
0809,NYK,Chandler,69%,14.4,18.1,-3.6,-4.0,+0.5,-4.4,-4.0
0809,NYK,Jeffries,33%,10.5,17.5,-7.0,-3.4,-2.2,-1.2,-4.7
0809,NYK,Hughes,17%,13.8,18.6,-4.8,-6.6,-1.7,-4.9,-4.8
0809,NYK,Wilcox,8%,14.8,19.6,-4.7,-8.0,-2.1,-5.9,-5.2
0809,NYK,Samb,0%,-14.0,-3.4,-10.6,+0.0,-2.6,+2.6,-5.3
0809,NYK,Collins,2%,5.8,15.8,-10.0,-1.9,-2.6,+0.7,-5.7
0809,NYK,Roberson,6%,13.1,19.6,-6.4,-11.2,-2.0,-9.2,-7.5
0809,NYK,Rose,4%,-1.7,25.1,-26.8,-2.1,-2.6,+0.5,-15.9
0809,NYK,Curry,0%,3.8,24.4,-20.6,-58.1,-2.4,-55.7,-34.6
