Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0809,OKC,Hill,0%,79.7,5.8,+73.9,+98.6,-6.1,+104.8,+86.3
0809,OKC,Sene,1%,37.4,15.8,+21.6,+10.7,-6.2,+16.8,+19.7
0809,OKC,White,3%,22.2,14.3,+7.9,+0.0,-6.3,+6.3,+7.2
0809,OKC,Westbrook,67%,16.9,16.2,+0.7,-4.9,-8.5,+3.6,+1.9
0809,OKC,Durant,73%,23.1,14.5,+8.6,-8.3,+0.0,-8.4,+1.8
0809,OKC,Sefolosha,18%,14.0,14.3,-0.3,-4.3,-6.5,+2.2,+0.7
0809,OKC,Weaver,29%,11.4,15.3,-3.9,-1.7,-7.9,+6.1,+0.1
0809,OKC,Krstic,29%,15.4,16.3,-0.9,-5.6,-6.2,+0.7,-0.3
0809,OKC,Smith,17%,14.8,17.4,-2.6,-4.3,-6.4,+2.1,-0.7
0809,OKC,Green,73%,15.6,17.7,-2.1,-6.8,-4.1,-2.8,-2.3
0809,OKC,Mason,27%,8.1,16.0,-7.9,-2.8,-7.2,+4.4,-3.0
0809,OKC,Collison,46%,16.6,22.5,-5.9,-5.5,-6.5,+1.0,-3.1
0809,OKC,Wilcox,18%,15.1,19.7,-4.5,-8.3,-5.6,-2.8,-3.8
0809,OKC,Rose,8%,10.2,20.8,-10.6,-0.5,-6.5,+6.1,-3.9
0809,OKC,Atkins,7%,5.9,10.0,-4.1,-10.3,-5.7,-4.6,-4.3
0809,OKC,Livingston,5%,15.1,21.7,-6.6,-8.6,-5.9,-2.7,-5.0
0809,OKC,Watson,45%,10.7,18.8,-8.1,-6.9,-5.3,-1.6,-5.5
0809,OKC,Wilkins,16%,9.4,16.3,-6.9,-10.8,-5.2,-5.6,-6.4
0809,OKC,Swift,9%,13.2,27.7,-14.5,-6.9,-6.0,-0.9,-9.1
0809,OKC,Petro,9%,10.7,26.2,-15.5,-11.2,-5.6,-5.7,-11.6
