Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
0809,POR,Roy,73%,26.7,13.4,+13.3,+8.3,-3.0,+11.4,+12.5
0809,POR,Aldridge,76%,21.4,16.1,+5.3,+7.7,-2.3,+10.0,+7.2
0809,POR,Blake,55%,16.2,16.2,-0.0,+8.6,+1.2,+7.4,+2.9
0809,POR,Fernandez,50%,17.4,13.7,+3.6,+5.7,+4.9,+0.8,+2.5
0809,POR,Przybilla,49%,17.5,17.7,-0.2,+7.3,+3.4,+3.9,+1.5
0809,POR,Oden,33%,20.3,21.3,-1.0,+6.2,+4.8,+1.4,-0.0
0809,POR,Batum,37%,14.4,15.5,-1.0,+6.1,+4.8,+1.3,-0.1
0809,POR,Outlaw,57%,17.0,16.7,+0.3,+3.4,+7.8,-4.3,-1.6
0809,POR,Rodriguez,31%,14.1,15.7,-1.6,+0.2,+7.6,-7.3,-3.9
0809,POR,Bayless,17%,9.4,18.1,-8.7,-1.7,+6.7,-8.4,-8.6
0809,POR,Frye,19%,11.4,20.5,-9.1,-7.8,+8.3,-16.1,-11.9
0809,POR,Ruffin,1%,11.6,29.4,-17.8,-13.5,+5.5,-19.0,-18.3
0809,POR,Diogu,2%,12.5,25.1,-12.6,-33.6,+6.0,-39.6,-23.4
0809,POR,Randolph,1%,21.5,27.8,-6.4,-45.1,+5.8,-50.9,-24.2
0809,POR,Webster,0%,-8.7,53.2,-61.9,-54.9,+5.4,-60.2,-61.2
