Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
0910,GSW,Law,2%,23.7,22.5,+1.2,+16.7,-3.9,+20.7,+9.0
0910,GSW,Azubuike,6%,22.1,15.4,+6.7,-8.5,-3.3,-5.2,+1.9
0910,GSW,Morrow,51%,15.8,15.6,+0.1,-1.6,-5.7,+4.1,+1.7
0910,GSW,Watson,45%,15.6,17.7,-2.1,+0.1,-6.6,+6.7,+1.4
0910,GSW,Jackson,8%,16.3,15.9,+0.4,-1.8,-3.7,+2.0,+1.0
0910,GSW,Maggette,53%,22.8,17.2,+5.6,-6.7,-0.2,-6.5,+0.7
0910,GSW,Curry,73%,18.3,19.0,-0.8,-3.1,-5.0,+2.0,+0.3
0910,GSW,Williams,20%,18.0,17.9,+0.0,-3.1,-3.7,+0.6,+0.3
0910,GSW,Tolliver,36%,15.5,19.3,-3.8,+0.0,-5.6,+5.6,-0.0
0910,GSW,Turiaf,22%,14.2,17.2,-3.0,-0.5,-4.5,+4.0,-0.2
0910,GSW,Bell,1%,22.9,9.0,+13.9,-24.9,-3.5,-21.4,-0.2
0910,GSW,Martin,7%,8.3,13.9,-5.6,+2.4,-4.0,+6.5,-0.8
0910,GSW,Randolph,19%,21.0,21.3,-0.3,-4.7,-3.3,-1.4,-0.8
0910,GSW,George,19%,13.1,18.4,-5.2,+0.8,-4.6,+5.5,-0.9
0910,GSW,Ellis,67%,18.7,16.7,+2.0,-7.2,+3.8,-11.0,-3.2
0910,GSW,Hunter,20%,13.7,24.3,-10.6,+0.1,-4.5,+4.6,-4.5
0910,GSW,Biedrins,19%,14.9,22.1,-7.2,-7.9,-2.5,-5.4,-6.5
0910,GSW,Karl,3%,8.1,19.7,-11.6,-10.7,-3.4,-7.3,-9.9
0910,GSW,Radmanovic,19%,9.0,23.8,-14.8,-7.1,-2.8,-4.3,-10.6
0910,GSW,Moore,10%,12.4,26.0,-13.6,-15.4,-2.2,-13.1,-13.4
