Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0910,LAL,Bryant,71%,24.6,12.5,+12.1,+7.9,-3.4,+11.2,+11.7
0910,LAL,Gasol,61%,25.6,16.3,+9.3,+6.1,+2.5,+3.7,+7.1
0910,LAL,Bynum,50%,22.6,18.7,+3.9,+6.7,+2.7,+3.9,+3.9
0910,LAL,Artest,66%,13.5,12.2,+1.3,+6.6,+1.0,+5.6,+3.0
0910,LAL,Odom,65%,18.1,15.7,+2.4,+5.7,+2.7,+3.0,+2.6
0910,LAL,Fisher,56%,10.4,19.5,-9.0,+7.7,+0.8,+6.9,-2.7
0910,LAL,Farmar,37%,13.8,15.4,-1.6,+1.8,+6.4,-4.5,-2.8
0910,LAL,Vujacic,14%,12.8,16.1,-3.3,-0.5,+5.6,-6.1,-4.4
0910,LAL,Brown,43%,13.9,16.5,-2.6,+0.5,+7.8,-7.4,-4.5
0910,LAL,Walton,7%,11.0,13.9,-2.9,-8.5,+5.7,-14.1,-7.4
0910,LAL,Mbenga,9%,13.0,19.0,-6.0,-4.7,+5.6,-10.3,-7.7
0910,LAL,Morrison,6%,8.5,16.3,-7.8,-7.4,+5.5,-12.8,-9.8
0910,LAL,Powell,15%,7.8,19.3,-11.5,-6.8,+6.7,-13.4,-12.3
