Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
0910,NJN,Dooling,25%,13.1,12.6,+0.5,-4.0,-10.7,+6.8,+3.0
0910,NJN,Lopez,77%,22.5,19.9,+2.7,-9.4,-8.0,-1.5,+1.0
0910,NJN,T.Williams,45%,13.2,16.6,-3.4,-7.0,-10.7,+3.7,-0.6
0910,NJN,Lee,60%,14.6,16.7,-2.2,-8.4,-10.1,+1.8,-0.6
0910,NJN,Humphries,23%,17.2,18.9,-1.7,-8.7,-9.2,+0.5,-0.8
0910,NJN,Simmons,10%,9.3,14.2,-5.0,-5.2,-9.5,+4.3,-1.3
0910,NJN,Yi,42%,14.0,20.2,-6.2,-6.4,-11.0,+4.5,-1.9
0910,NJN,Harris,56%,18.3,20.1,-1.8,-10.4,-7.4,-3.0,-2.3
0910,NJN,S.Williams,6%,7.9,14.6,-6.8,-5.5,-9.3,+3.8,-2.5
0910,NJN,Douglas-Roberts,44%,13.0,16.1,-3.1,-10.3,-8.2,-2.1,-2.7
0910,NJN,Boone,26%,15.5,20.6,-5.1,-10.9,-8.4,-2.5,-4.1
0910,NJN,Hayes,26%,11.1,21.0,-9.9,-7.2,-9.8,+2.6,-4.9
0910,NJN,Alston,19%,9.9,17.9,-7.9,-11.0,-8.6,-2.4,-5.7
0910,NJN,Quinn,6%,10.6,23.3,-12.7,-9.9,-9.0,-0.9,-8.0
0910,NJN,Hassell,28%,7.4,17.5,-10.1,-15.3,-6.7,-8.7,-9.5
0910,NJN,Battie,3%,7.8,17.4,-9.6,-19.0,-8.7,-10.3,-9.9
0910,NJN,Najera,5%,8.1,22.9,-14.9,-16.0,-8.7,-7.2,-11.8
