Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0910,PHI,Elson,0%,6.8,13.3,-6.5,+23.3,-3.9,+27.2,+7.0
0910,PHI,Iguodala,81%,20.0,14.6,+5.4,-3.8,-4.1,+0.2,+3.3
0910,PHI,Williams,48%,20.4,17.2,+3.2,-2.6,-5.1,+2.5,+2.9
0910,PHI,Brand,58%,17.6,18.0,-0.4,-1.4,-7.4,+6.0,+2.2
0910,PHI,Dalembert,54%,19.0,16.7,+2.3,-4.9,-2.7,-2.2,+0.5
0910,PHI,Iverson,20%,14.8,16.4,-1.6,-1.3,-4.5,+3.3,+0.4
0910,PHI,Ivey,6%,14.2,16.2,-2.1,-2.6,-4.0,+1.3,-0.7
0910,PHI,Carney,22%,14.4,14.2,+0.2,-5.7,-3.4,-2.3,-0.8
0910,PHI,Green,39%,14.4,16.4,-2.0,-4.6,-3.4,-1.2,-1.7
0910,PHI,Young,54%,15.8,19.9,-4.0,-3.2,-4.7,+1.5,-1.8
0910,PHI,Meeks,6%,17.9,22.4,-4.6,-5.8,-3.8,-2.0,-3.5
0910,PHI,Holiday,45%,13.9,19.9,-6.0,-4.4,-3.5,-0.9,-4.0
0910,PHI,Kapono,25%,9.5,18.8,-9.3,-5.4,-3.4,-2.0,-6.3
0910,PHI,Speights,26%,19.8,25.8,-6.0,-9.2,-2.1,-7.1,-6.4
0910,PHI,Smith,17%,12.0,25.3,-13.3,-3.8,-3.9,+0.1,-8.0
0910,PHI,Brezec,1%,1.0,31.0,-30.0,+12.1,-4.0,+16.1,-11.6
