Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
0910,UTA,Williams,71%,23.0,15.4,+7.7,+7.3,+0.4,+6.9,+7.4
0910,UTA,Kirilenko,43%,20.4,12.1,+8.3,+6.8,+4.2,+2.6,+6.0
0910,UTA,Korver,24%,15.6,13.9,+1.7,+9.7,+3.9,+5.8,+3.4
0910,UTA,Boozer,68%,24.2,18.9,+5.2,+4.6,+6.8,-2.2,+2.3
0910,UTA,Gaines,5%,19.5,16.0,+3.5,+4.0,+5.4,-1.4,+1.5
0910,UTA,Millsap,58%,18.7,18.6,+0.1,+6.8,+3.3,+3.6,+1.5
0910,UTA,Okur,54%,17.6,16.6,+1.1,+4.0,+6.9,-2.8,-0.5
0910,UTA,Matthews,51%,13.8,14.1,-0.3,+4.9,+5.8,-0.9,-0.5
0910,UTA,Fesenko,10%,10.9,17.1,-6.1,+11.9,+4.6,+7.3,-0.7
0910,UTA,Brewer,42%,14.4,13.9,+0.5,+3.0,+7.0,-4.0,-1.3
0910,UTA,Jeffers,2%,15.5,16.2,-0.8,+2.6,+5.4,-2.7,-1.5
0910,UTA,Maynor,9%,13.9,14.3,-0.4,+0.9,+5.8,-4.8,-2.2
0910,UTA,Miles,38%,12.2,18.2,-6.0,+5.3,+5.4,-0.1,-3.6
0910,UTA,Price,20%,11.7,18.4,-6.7,+1.8,+6.2,-4.4,-5.8
0910,UTA,Koufos,4%,8.5,22.1,-13.6,-17.5,+6.4,-23.9,-17.7
