Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1011,DET,Prince,64%,15.8,13.2,+2.6,-2.5,-5.4,+2.9,+2.7
1011,DET,McGrady,42%,15.8,13.1,+2.7,-2.5,-4.3,+1.8,+2.4
1011,DET,Stuckey,55%,19.3,17.7,+1.6,-1.8,-5.7,+3.9,+2.4
1011,DET,Wilcox,25%,19.5,20.7,-1.1,-0.4,-4.6,+4.2,+0.6
1011,DET,Hamilton,38%,16.3,15.5,+0.8,-4.7,-2.9,-1.8,-0.0
1011,DET,Monroe,56%,19.4,20.5,-1.1,-2.9,-4.4,+1.6,-0.2
1011,DET,Gordon,54%,12.8,14.5,-1.7,-2.6,-4.7,+2.1,-0.4
1011,DET,Villanueva,42%,16.7,21.7,-4.9,-4.0,-3.2,-0.8,-3.6
1011,DET,Bynum,28%,15.9,18.8,-2.9,-7.2,-2.1,-5.1,-3.6
1011,DET,Daye,36%,13.7,19.1,-5.4,-4.4,-3.1,-1.4,-4.1
1011,DET,Wallace,31%,13.4,17.4,-4.0,-6.6,-2.2,-4.4,-4.1
1011,DET,Maxiell,23%,10.0,22.6,-12.6,-7.0,-2.5,-4.5,-9.9
1011,DET,Summers,5%,4.1,24.1,-20.0,-5.1,-3.5,-1.6,-13.9
