Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1011,IND,Dunleavy,43%,15.6,12.9,+2.7,+2.4,-3.6,+6.0,+3.8
1011,IND,Granger,70%,18.7,15.2,+3.5,-0.3,-2.9,+2.6,+3.2
1011,IND,Foster,24%,15.7,13.4,+2.3,+2.7,-2.2,+4.9,+3.2
1011,IND,McRoberts,40%,17.4,18.5,-1.0,+1.7,-2.9,+4.6,+0.8
1011,IND,George,32%,13.9,13.6,+0.4,-0.2,-1.5,+1.3,+0.7
1011,IND,Hansbrough,39%,17.3,15.9,+1.5,-3.8,+0.6,-4.4,-0.5
1011,IND,D.Jones,15%,14.5,14.2,+0.3,-3.1,-0.7,-2.4,-0.6
1011,IND,Hibbert,57%,16.8,18.3,-1.5,-0.6,-1.7,+1.0,-0.7
1011,IND,Collison,60%,16.4,16.0,+0.4,-2.8,+1.5,-4.3,-1.2
1011,IND,Price,20%,10.9,16.9,-6.0,+1.6,-1.7,+3.3,-2.9
1011,IND,Rush,44%,11.1,12.6,-1.4,-5.7,+2.6,-8.3,-3.7
1011,IND,Ford,20%,10.3,16.3,-6.0,-0.6,-1.2,+0.6,-3.8
1011,IND,Posey,21%,7.9,18.1,-10.2,-1.7,-0.9,-0.7,-7.0
1011,IND,S.Jones,13%,8.9,18.5,-9.6,-5.7,-0.4,-5.4,-8.2
1011,IND,Stephenson,3%,5.4,20.8,-15.4,-0.4,-1.1,+0.7,-10.0
