Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1112,SAS,Ginobili,25%,24.9,13.7,+11.2,+13.5,+5.0,+8.5,+10.3
1112,SAS,Duncan,51%,23.3,13.2,+10.1,+9.0,+5.2,+3.8,+8.0
1112,SAS,Parker,60%,22.2,16.0,+6.2,+10.5,+2.0,+8.5,+7.0
1112,SAS,Bonner,42%,13.6,10.5,+3.1,+13.1,+2.9,+10.2,+5.5
1112,SAS,Splitter,35%,21.5,16.7,+4.7,+8.5,+6.4,+2.2,+3.9
1112,SAS,Green,48%,15.9,14.8,+1.1,+7.7,+6.6,+1.1,+1.1
1112,SAS,Leonard,48%,17.5,13.5,+4.0,+4.2,+9.9,-5.7,+0.8
1112,SAS,Mills,8%,21.7,20.6,+1.1,+7.2,+7.1,+0.1,+0.7
1112,SAS,Diaw,13%,12.8,15.5,-2.7,+13.0,+6.3,+6.8,+0.5
1112,SAS,Jackson,16%,13.3,14.2,-0.9,+8.3,+6.9,+1.4,-0.1
1112,SAS,Neal,38%,14.1,17.0,-2.9,+4.8,+8.6,-3.8,-3.2
1112,SAS,Anderson,19%,8.6,14.4,-5.8,+7.6,+7.0,+0.5,-3.7
1112,SAS,Blair,43%,18.1,18.8,-0.7,+1.2,+11.6,-10.4,-3.9
1112,SAS,Ford,6%,11.1,17.0,-5.9,+6.6,+7.2,-0.6,-4.2
1112,SAS,Jefferson,37%,11.0,13.6,-2.6,+2.2,+10.0,-7.7,-4.3
1112,SAS,Byars,1%,15.3,21.1,-5.8,-10.4,+7.3,-17.7,-9.8
1112,SAS,Thomas,0%,7.0,13.2,-6.3,-12.7,+7.2,-19.9,-10.8
1112,SAS,Dentmon,1%,0.7,9.0,-8.3,-12.9,+7.2,-20.1,-12.2
1112,SAS,Joseph,8%,6.5,20.1,-13.6,-10.1,+8.7,-18.8,-15.3
1112,SAS,Dawson,1%,15.0,21.2,-6.2,-29.4,+7.6,-36.9,-16.4
1112,SAS,Diogu,0%,-3.8,68.3,-72.2,+37.2,+7.0,+30.2,-38.1
