Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1213,BKN,Lopez,57%,26.1,16.4,+9.7,+5.9,-3.7,+9.6,+9.7
1213,BKN,Johnson,67%,14.4,12.7,+1.6,+5.2,-5.0,+10.1,+4.5
1213,BKN,Williams,72%,21.1,16.7,+4.4,+2.9,-1.1,+4.0,+4.3
1213,BKN,Blatche,39%,23.2,18.9,+4.2,-0.5,+3.2,-3.8,+1.6
1213,BKN,Wallace,52%,12.2,12.2,+0.0,+3.2,+0.2,+3.0,+1.0
1213,BKN,Evans,50%,14.2,15.5,-1.3,+2.9,+0.7,+2.2,-0.1
1213,BKN,Shengelia,2%,8.7,13.2,-4.5,+5.2,+1.7,+3.5,-1.8
1213,BKN,Stackhouse,14%,8.4,11.9,-3.4,+2.6,+1.6,+0.9,-2.0
1213,BKN,Brooks,23%,13.8,14.4,-0.6,-2.8,+3.1,-6.0,-2.4
1213,BKN,Watson,38%,14.4,17.9,-3.5,+0.7,+2.4,-1.7,-2.9
1213,BKN,Humphries,30%,14.4,18.6,-4.2,-3.7,+4.1,-7.8,-5.4
1213,BKN,Teletovic,13%,12.6,19.7,-7.1,-1.8,+2.3,-4.1,-6.1
1213,BKN,Joseph,1%,3.9,9.9,-6.0,-6.4,+1.8,-8.2,-6.8
1213,BKN,Bogans,35%,6.8,14.9,-8.1,-1.2,+3.4,-4.5,-6.9
1213,BKN,Childress,3%,7.2,9.1,-1.9,-16.8,+2.2,-19.0,-7.6
1213,BKN,Taylor,6%,5.6,20.4,-14.7,-14.4,+2.7,-17.1,-15.5
