Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1213,CLE,Varejao,23%,23.3,14.6,+8.8,-4.0,-4.9,+0.9,+6.1
1213,CLE,Irving,52%,22.2,17.8,+4.4,-4.1,-5.2,+1.1,+3.3
1213,CLE,Livingston,29%,15.4,14.2,+1.2,-0.8,-6.2,+5.4,+2.6
1213,CLE,Jones,8%,11.5,15.6,-4.1,+7.9,-5.8,+13.7,+1.8
1213,CLE,Miles,35%,15.8,14.5,+1.2,-3.0,-5.6,+2.6,+1.7
1213,CLE,Ellington,25%,14.5,13.4,+1.1,-2.7,-5.3,+2.7,+1.7
1213,CLE,Thompson,65%,17.1,17.2,-0.1,-4.4,-5.2,+0.8,+0.2
1213,CLE,Casspi,13%,13.4,15.2,-1.8,-4.6,-4.7,+0.1,-1.2
1213,CLE,Waiters,45%,13.8,16.2,-2.4,-4.2,-5.0,+0.8,-1.4
1213,CLE,Pargo,11%,11.2,14.5,-3.3,-4.9,-4.6,-0.3,-2.3
1213,CLE,Speights,18%,18.9,21.9,-3.0,-6.5,-4.3,-2.3,-2.7
1213,CLE,Walton,22%,11.9,18.7,-6.8,-3.0,-5.1,+2.1,-3.8
1213,CLE,Quinn,2%,0.7,13.9,-13.2,+6.7,-4.9,+11.6,-4.9
1213,CLE,Sloan,7%,10.1,15.0,-5.0,-11.4,-4.2,-7.2,-5.7
1213,CLE,Samuels,5%,6.0,13.9,-7.9,-6.4,-4.6,-1.8,-5.9
1213,CLE,Gee,64%,10.8,17.7,-6.9,-6.6,-1.1,-5.5,-6.4
1213,CLE,Zeller,52%,11.4,20.1,-8.7,-6.1,-3.1,-3.0,-6.8
1213,CLE,Gibson,23%,7.7,19.5,-11.8,-10.6,-2.9,-7.7,-10.5
1213,CLE,Leuer,2%,2.7,32.8,-30.0,-21.0,-4.3,-16.8,-25.6
