Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1213,OKC,Durant,79%,30.4,11.2,+19.2,+11.0,+2.2,+8.9,+15.8
1213,OKC,Westbrook,72%,25.1,15.5,+9.6,+10.5,+5.5,+5.1,+8.1
1213,OKC,Ibaka,63%,20.9,14.3,+6.5,+9.5,+8.6,+0.9,+4.6
1213,OKC,Martin,54%,16.8,13.6,+3.3,+9.8,+8.4,+1.4,+2.6
1213,OKC,Sefolosha,56%,13.9,13.5,+0.3,+10.8,+7.0,+3.9,+1.5
1213,OKC,Collison,40%,14.8,16.8,-2.0,+11.1,+7.8,+3.3,-0.3
1213,OKC,Jackson,25%,15.1,14.1,+1.0,+5.1,+10.5,-5.4,-1.1
1213,OKC,Thabeet,19%,12.8,14.4,-1.7,+8.5,+9.3,-0.8,-1.4
1213,OKC,Brewer,4%,10.0,9.2,+0.7,+2.4,+9.4,-7.0,-1.8
1213,OKC,Perkins,49%,8.9,17.6,-8.6,+10.0,+8.3,+1.7,-5.2
1213,OKC,Fisher,9%,6.9,14.1,-7.2,+6.9,+9.3,-2.4,-5.6
1213,OKC,Maynor,10%,7.3,11.9,-4.7,+2.1,+9.9,-7.8,-5.7
1213,OKC,Orton,3%,15.0,15.3,-0.4,-6.9,+9.6,-16.5,-5.7
1213,OKC,Jones,7%,7.9,12.3,-4.4,+0.0,+9.8,-9.8,-6.2
1213,OKC,Liggins,7%,10.2,16.6,-6.4,-4.6,+10.2,-14.9,-9.2
1213,OKC,Lamb,4%,11.1,19.3,-8.2,-14.7,+10.1,-24.8,-13.8
