Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1213,ORL,Redick,40%,16.6,14.9,+1.7,-3.0,-9.6,+6.6,+3.4
1213,ORL,Davis,27%,15.6,15.2,+0.4,-1.4,-9.0,+7.5,+2.7
1213,ORL,Afflalo,58%,13.2,13.6,-0.4,-6.7,-7.3,+0.6,-0.1
1213,ORL,Harris,25%,17.7,18.6,-0.9,-6.5,-7.1,+0.7,-0.4
1213,ORL,Vucevic,65%,19.0,19.4,-0.4,-7.2,-6.4,-0.8,-0.5
1213,ORL,Nelson,50%,14.7,18.8,-4.1,-4.1,-9.8,+5.7,-0.8
1213,ORL,Nicholson,32%,15.8,17.8,-2.0,-6.0,-7.4,+1.4,-0.9
1213,ORL,O'Quinn,16%,16.9,20.8,-3.9,-4.1,-7.5,+3.3,-1.5
1213,ORL,Udrih,19%,15.4,18.1,-2.7,-8.7,-6.5,-2.2,-2.5
1213,ORL,Ayon,14%,12.5,17.8,-5.4,-5.5,-7.2,+1.8,-3.0
1213,ORL,Moore,43%,10.7,14.9,-4.1,-8.5,-5.8,-2.8,-3.7
1213,ORL,Harkless,50%,13.1,15.5,-2.3,-11.4,-2.6,-8.8,-4.5
1213,ORL,McRoberts,17%,10.6,17.1,-6.5,-7.6,-6.8,-0.8,-4.6
1213,ORL,Harrington,3%,10.1,15.0,-4.9,-14.1,-6.7,-7.4,-5.7
1213,ORL,Smith,10%,7.2,16.4,-9.1,-7.9,-6.9,-1.0,-6.4
1213,ORL,Lamb,8%,6.5,15.0,-8.4,-13.9,-6.4,-7.5,-8.1
1213,ORL,Jones,20%,8.7,21.2,-12.5,-10.7,-6.0,-4.7,-9.9
1213,ORL,Turkoglu,5%,2.9,13.0,-10.1,-20.8,-6.3,-14.5,-11.6
