Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1213,SAC,Douglas,9%,16.9,15.9,+1.0,+7.2,-6.1,+13.3,+5.1
1213,SAC,Evans,51%,19.0,14.9,+4.1,-5.2,-4.5,-0.7,+2.5
1213,SAC,Aldrich,4%,17.1,22.0,-4.9,+11.3,-5.6,+16.8,+2.4
1213,SAC,Thomas,54%,18.1,17.8,+0.4,-3.1,-6.8,+3.7,+1.5
1213,SAC,Outlaw,11%,13.3,13.6,-0.3,-3.8,-5.0,+1.2,+0.2
1213,SAC,Cousins,58%,21.2,19.2,+2.0,-6.4,-2.7,-3.7,+0.1
1213,SAC,Salmons,57%,10.4,15.5,-5.1,-0.8,-10.3,+9.5,-0.2
1213,SAC,Thornton,44%,16.7,14.5,+2.1,-8.0,-2.4,-5.7,-0.5
1213,SAC,Thompson,58%,15.4,17.5,-2.1,-5.1,-4.5,-0.6,-1.6
1213,SAC,Patterson,14%,15.3,20.8,-5.5,-0.9,-5.5,+4.5,-2.1
1213,SAC,Fredette,24%,14.8,20.1,-5.3,-4.0,-5.1,+1.1,-3.2
1213,SAC,Hayes,30%,11.5,19.7,-8.2,-1.0,-6.5,+5.5,-3.6
1213,SAC,Garcia,18%,10.8,17.6,-6.8,-6.3,-4.5,-1.8,-5.1
1213,SAC,Robinson,20%,11.0,20.3,-9.3,-8.4,-3.9,-4.4,-7.7
1213,SAC,Honeycutt,1%,1.1,8.0,-6.8,-15.1,-4.8,-10.4,-8.0
1213,SAC,Brooks,24%,12.4,21.5,-9.1,-9.8,-3.3,-6.6,-8.3
1213,SAC,Johnson,22%,10.4,17.6,-7.2,-15.1,-1.9,-13.2,-9.2
