Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1213,TOR,Acy,9%,16.9,14.7,+2.2,+13.3,-2.8,+16.1,+6.8
1213,TOR,Johnson,58%,18.4,17.1,+1.3,+4.4,-9.6,+14.0,+5.5
1213,TOR,Gay,29%,17.9,14.3,+3.7,+2.3,-3.0,+5.3,+4.2
1213,TOR,Lowry,51%,18.2,17.1,+1.1,+0.9,-3.9,+4.8,+2.3
1213,TOR,DeRozan,75%,15.0,11.9,+3.1,-1.8,-0.4,-1.4,+1.6
1213,TOR,Calderon,32%,20.1,17.0,+3.1,-3.1,-0.7,-2.4,+1.3
1213,TOR,Telfair,5%,10.8,13.8,-3.0,+1.6,-1.6,+3.2,-0.9
1213,TOR,Davis,27%,19.2,19.1,+0.0,-4.6,-0.3,-4.3,-1.4
1213,TOR,Fields,26%,10.8,13.4,-2.6,-1.3,-1.5,+0.2,-1.6
1213,TOR,Anderson,37%,12.5,14.8,-2.3,-2.6,-0.8,-1.8,-2.1
1213,TOR,Valanciunas,37%,16.4,18.1,-1.6,-4.1,+0.1,-4.2,-2.5
1213,TOR,Ross,31%,10.4,15.7,-5.3,-2.6,-0.9,-1.7,-4.1
1213,TOR,Lucas,21%,12.8,17.0,-4.2,-5.4,-0.4,-5.0,-4.4
1213,TOR,Bargnani,25%,11.1,16.2,-5.1,-5.4,-0.1,-5.3,-5.2
1213,TOR,Pietrus,10%,5.8,13.2,-7.4,-4.7,-1.1,-3.6,-6.1
1213,TOR,Kleiza,9%,7.9,15.2,-7.3,-6.0,-1.0,-5.0,-6.5
1213,TOR,McGuire,6%,8.1,19.2,-11.1,-7.9,-1.1,-6.9,-9.7
1213,TOR,Gray,13%,9.4,21.5,-12.1,-7.9,-0.5,-7.3,-10.5
