Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1314,DAL,Nowitzki,66%,25.4,16.9,+8.5,+5.9,-4.5,+10.4,+9.1
1314,DAL,Wright,27%,25.7,18.7,+7.0,+5.5,+1.2,+4.3,+6.1
1314,DAL,Crowder,32%,12.8,12.5,+0.3,+9.3,-0.8,+10.1,+3.6
1314,DAL,Harris,21%,15.6,15.1,+0.5,+9.2,+0.6,+8.5,+3.1
1314,DAL,Carter,50%,16.8,15.1,+1.7,+4.3,+0.5,+3.7,+2.4
1314,DAL,Ellis,76%,17.8,12.6,+5.2,+0.8,+7.5,-6.8,+1.2
1314,DAL,Dalembert,41%,18.4,18.3,+0.2,+0.6,+3.6,-3.1,-0.9
1314,DAL,Ledo,1%,12.8,20.8,-8.0,+11.5,+2.3,+9.2,-2.2
1314,DAL,Blair,31%,18.7,21.5,-2.8,-0.1,+3.5,-3.6,-3.1
1314,DAL,Calderon,62%,16.3,18.1,-1.8,-0.1,+6.4,-6.5,-3.4
1314,DAL,Larkin,12%,8.6,16.9,-8.3,+6.2,+1.9,+4.3,-4.1
1314,DAL,Ellington,10%,13.0,19.3,-6.3,-3.3,+3.0,-6.3,-6.3
1314,DAL,Marion,61%,14.9,17.9,-3.0,-2.7,+10.2,-12.9,-6.3
1314,DAL,Mekel,7%,5.3,19.1,-13.8,+0.0,+2.6,-2.6,-10.1
1314,DAL,James,4%,9.2,25.3,-16.1,-1.6,+2.5,-4.2,-12.1
