Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1314,MIA,James,73%,31.9,12.8,+19.1,+6.8,-0.8,+7.6,+15.2
1314,MIA,Jones,6%,16.7,11.7,+5.0,+15.9,+4.0,+11.9,+7.3
1314,MIA,Wade,45%,23.7,14.6,+9.1,+3.8,+5.4,-1.6,+5.5
1314,MIA,Bosh,64%,20.7,19.4,+1.3,+8.5,-1.9,+10.4,+4.4
1314,MIA,Chalmers,55%,15.1,15.0,+0.1,+6.7,+2.3,+4.4,+1.6
1314,MIA,Andersen,35%,20.4,19.1,+1.3,+5.6,+4.2,+1.4,+1.3
1314,MIA,Allen,49%,13.8,11.8,+2.0,+4.0,+5.4,-1.4,+0.8
1314,MIA,Battier,37%,9.3,13.6,-4.3,+6.3,+3.8,+2.5,-2.1
1314,MIA,Lewis,24%,11.5,15.9,-4.4,+2.5,+5.4,-2.9,-3.9
1314,MIA,Beasley,21%,18.0,20.2,-2.2,-2.6,+6.6,-9.2,-4.5
1314,MIA,Cole,51%,9.2,15.1,-5.8,+2.5,+7.0,-4.5,-5.4
1314,MIA,Douglas,10%,11.7,21.6,-10.0,+8.0,+4.3,+3.6,-5.4
1314,MIA,Anthony,1%,8.5,17.8,-9.3,+5.2,+4.7,+0.4,-6.0
1314,MIA,Mason,7%,8.8,16.1,-7.2,-0.9,+5.1,-6.0,-6.8
1314,MIA,Haslem,16%,11.7,20.1,-8.5,-5.1,+6.6,-11.7,-9.5
1314,MIA,Oden,5%,13.3,24.1,-10.8,-7.5,+5.4,-12.9,-11.5
1314,MIA,Hamilton,2%,13.2,24.3,-11.0,-15.4,+5.1,-20.5,-14.2
