Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1314,MIL,Mitchell,0%,34.3,4.2,+30.1,+9.8,-8.1,+18.0,+26.1
1314,MIL,Wolters,33%,13.5,15.1,-1.6,-0.9,-11.6,+10.7,+2.5
1314,MIL,Adrien,18%,20.0,19.3,+0.7,-4.3,-8.9,+4.6,+2.0
1314,MIL,Wright,3%,17.8,14.9,+2.9,-9.5,-8.1,-1.5,+1.4
1314,MIL,Sessions,23%,19.3,18.6,+0.6,-6.9,-8.5,+1.5,+0.9
1314,MIL,Henson,47%,19.3,16.2,+3.1,-11.1,-5.4,-5.7,+0.2
1314,MIL,Antetokounmpo,48%,11.6,14.9,-3.3,-4.4,-11.5,+7.1,+0.1
1314,MIL,Knight,60%,17.4,17.1,+0.2,-8.8,-7.0,-1.8,-0.4
1314,MIL,Pachulia,33%,15.1,19.4,-4.3,-6.6,-8.8,+2.2,-2.1
1314,MIL,Middleton,62%,13.2,17.6,-4.3,-7.3,-9.3,+2.0,-2.2
1314,MIL,Ilyasova,37%,14.7,17.7,-3.0,-8.6,-7.8,-0.9,-2.3
1314,MIL,Butler,21%,13.0,15.0,-2.0,-11.4,-7.2,-4.2,-2.7
1314,MIL,Sanders,15%,15.1,20.4,-5.3,-9.1,-7.9,-1.2,-3.9
1314,MIL,Mayo,34%,11.6,14.7,-3.1,-12.7,-5.7,-7.0,-4.4
1314,MIL,Neal,15%,11.2,15.3,-4.1,-13.6,-7.1,-6.5,-4.9
1314,MIL,Raduljica,12%,16.4,25.5,-9.1,-5.1,-8.5,+3.4,-4.9
1314,MIL,Stephens,0%,17.8,31.3,-13.5,+3.3,-8.1,+11.4,-5.2
1314,MIL,Ridnour,19%,9.5,17.2,-7.6,-12.1,-7.2,-4.9,-6.7
1314,MIL,Udoh,20%,8.0,24.9,-16.8,-10.0,-7.6,-2.4,-12.0
