Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1314,MIN,Love,70%,29.0,15.8,+13.3,+6.1,-5.6,+11.7,+12.8
1314,MIN,Pekovic,42%,22.2,16.5,+5.7,+8.0,-1.2,+9.2,+6.8
1314,MIN,Martin,55%,17.1,12.8,+4.3,+3.9,+1.1,+2.8,+3.8
1314,MIN,Rubio,66%,16.4,18.9,-2.5,+6.9,-5.8,+12.8,+2.6
1314,MIN,Brewer,66%,13.4,16.4,-3.0,+6.1,-4.1,+10.2,+1.4
1314,MIN,Jeffers,0%,2.0,11.0,-9.1,+22.1,+2.6,+19.5,+0.5
1314,MIN,Turiaf,15%,15.1,16.3,-1.1,-1.8,+3.5,-5.3,-2.5
1314,MIN,Price,3%,9.7,13.0,-3.3,+1.0,+2.7,-1.7,-2.8
1314,MIN,Shved,17%,10.5,11.9,-1.4,-2.5,+3.7,-6.2,-3.0
1314,MIN,Hummel,16%,10.3,15.1,-4.8,+2.6,+2.6,-0.0,-3.2
1314,MIN,Budinger,19%,10.1,14.9,-4.8,+0.0,+3.3,-3.3,-4.3
1314,MIN,Dieng,21%,18.0,21.5,-3.5,-2.4,+3.9,-6.3,-4.4
1314,MIN,Cunningham,41%,13.5,17.5,-4.0,-1.2,+5.4,-6.6,-4.9
1314,MIN,Muhammad,7%,13.7,13.0,+0.8,-12.4,+3.8,-16.3,-4.9
1314,MIN,Barea,37%,12.0,15.6,-3.6,-3.3,+6.1,-9.4,-5.6
1314,MIN,Williams,4%,7.9,12.6,-4.7,-7.4,+3.1,-10.5,-6.6
1314,MIN,MbahaMoute,20%,8.1,15.7,-7.6,-7.9,+5.3,-13.2,-9.5
