Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1314,NOH,Southerland,1%,18.9,11.5,+7.4,+17.5,-2.8,+20.3,+11.7
1314,NOH,Davis,59%,28.8,15.7,+13.1,-2.3,-3.2,+0.9,+9.0
1314,NOH,Childress,1%,2.6,5.0,-2.4,+22.2,-2.8,+25.0,+6.7
1314,NOH,Morrow,36%,14.9,12.7,+2.2,+1.3,-4.9,+6.2,+3.6
1314,NOH,Evans,51%,19.6,13.9,+5.8,-4.9,-0.4,-4.5,+2.3
1314,NOH,Anderson,20%,20.0,20.1,-0.1,+1.8,-3.8,+5.6,+1.8
1314,NOH,Withey,17%,16.7,17.3,-0.6,+2.0,-3.7,+5.7,+1.5
1314,NOH,Holiday,29%,18.3,18.8,-0.5,+1.0,-4.2,+5.2,+1.4
1314,NOH,Babbitt,12%,12.9,19.8,-7.0,+7.1,-4.0,+11.1,-0.9
1314,NOH,Rivers,34%,12.1,17.4,-5.3,-0.5,-3.8,+3.3,-2.4
1314,NOH,Gordon,52%,15.7,16.2,-0.5,-6.3,+1.2,-7.5,-2.8
1314,NOH,Ajinca,24%,15.8,19.8,-4.0,-5.0,-2.0,-3.0,-3.7
1314,NOH,Aminu,52%,14.4,16.7,-2.3,-5.8,+0.6,-6.5,-3.7
1314,NOH,Miller,18%,9.5,19.3,-9.8,+3.4,-4.0,+7.4,-4.1
1314,NOH,Roberts,42%,14.3,19.3,-5.1,-3.9,-1.8,-2.2,-4.1
1314,NOH,Onuaku,1%,6.0,9.5,-3.5,-11.3,-2.6,-8.7,-5.2
1314,NOH,Smith,21%,13.3,22.0,-8.7,-3.7,-2.4,-1.3,-6.2
1314,NOH,Amundson,5%,9.9,20.3,-10.3,-7.0,-2.5,-4.6,-8.4
1314,NOH,Thomas,1%,0.1,16.1,-16.1,-3.4,-2.7,-0.7,-11.0
1314,NOH,Stiemsma,25%,10.7,23.8,-13.1,-8.1,-0.8,-7.3,-11.2
1314,NOH,Ely,1%,3.8,33.3,-29.5,-26.2,-2.5,-23.6,-27.5
