Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1314,POR,Aldridge,63%,23.3,14.2,+9.1,+7.1,-1.4,+8.5,+8.9
1314,POR,Batum,74%,17.1,13.7,+3.4,+5.4,-0.1,+5.5,+4.1
1314,POR,Lillard,74%,19.6,17.9,+1.8,+5.9,-1.5,+7.4,+3.7
1314,POR,Matthews,70%,16.6,13.5,+3.1,+5.3,+0.9,+4.4,+3.5
1314,POR,Lopez,66%,19.1,17.0,+2.0,+5.8,+0.4,+5.4,+3.2
1314,POR,Barton,10%,14.3,13.0,+1.3,-2.1,+4.6,-6.7,-1.4
1314,POR,Claver,5%,9.4,12.5,-3.1,+6.0,+3.9,+2.1,-1.4
1314,POR,Wright,25%,12.8,14.1,-1.3,+2.6,+4.4,-1.7,-1.5
1314,POR,McCollum,12%,9.1,12.1,-3.0,-2.0,+4.8,-6.8,-4.3
1314,POR,Freeland,18%,12.1,17.4,-5.3,+1.7,+4.5,-2.7,-4.5
1314,POR,Williams,46%,12.2,17.3,-5.0,+1.9,+5.7,-3.8,-4.6
1314,POR,Robinson,22%,15.1,16.5,-1.4,-4.8,+6.4,-11.3,-4.7
1314,POR,Crabbe,3%,7.8,23.7,-15.9,+1.0,+4.0,-3.1,-11.6
1314,POR,Watson,4%,2.0,24.0,-21.9,-2.7,+4.2,-6.9,-16.9
1314,POR,Leonard,9%,10.2,27.5,-17.2,-11.8,+5.5,-17.2,-17.2
