Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1415,ATL,Korver,61%,16.0,11.7,+4.3,+12.4,-5.6,+18.0,+8.8
1415,ATL,Teague,56%,21.9,16.5,+5.3,+8.4,+1.6,+6.8,+5.8
1415,ATL,Millsap,61%,21.6,16.8,+4.8,+8.2,+1.1,+7.1,+5.6
1415,ATL,Horford,59%,23.1,17.8,+5.3,+6.0,+4.6,+1.4,+4.0
1415,ATL,Sefolosha,25%,15.1,11.5,+3.6,+8.6,+4.4,+4.2,+3.8
1415,ATL,Carroll,55%,17.1,14.1,+3.0,+4.5,+6.5,-2.0,+1.4
1415,ATL,Jenkins,8%,17.1,11.3,+5.8,-4.0,+6.2,-10.2,+0.4
1415,ATL,Muscala,13%,19.5,19.5,-0.1,+5.2,+5.5,-0.3,-0.1
1415,ATL,Schroder,38%,16.3,14.6,+1.8,+0.2,+8.7,-8.5,-1.7
1415,ATL,Scott,28%,16.1,16.1,-0.1,+0.9,+7.2,-6.3,-2.1
1415,ATL,Mack,21%,13.8,17.5,-3.7,+2.5,+6.2,-3.6,-3.7
1415,ATL,Antic,26%,10.0,17.5,-7.5,+6.9,+4.9,+2.1,-4.3
1415,ATL,Brand,12%,10.1,13.8,-3.8,+0.3,+6.1,-5.8,-4.5
1415,ATL,Daye,2%,12.7,19.8,-7.1,-0.6,+5.5,-6.2,-6.8
1415,ATL,Bazemore,34%,10.4,16.9,-6.5,-3.6,+9.9,-13.5,-8.8
1415,ATL,Payne,0%,2.6,13.1,-10.5,-47.5,+5.7,-53.1,-17.0
