Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1415,BOS,Datome,5%,15.6,8.1,+7.6,+15.0,-0.6,+15.6,+10.3
1415,BOS,Prince,5%,18.2,7.4,+10.8,+5.8,-0.1,+6.0,+9.2
1415,BOS,Thomas,14%,23.1,16.0,+7.0,+10.1,-1.4,+11.6,+8.5
1415,BOS,Jerebko,13%,16.5,12.3,+4.2,+10.0,-1.4,+11.4,+6.6
1415,BOS,Crowder,35%,14.9,11.3,+3.6,+2.5,-1.1,+3.6,+3.6
1415,BOS,Thornton,16%,16.4,11.8,+4.6,+1.4,-0.1,+1.5,+3.5
1415,BOS,Olynyk,36%,16.7,18.6,-1.9,+7.7,-4.0,+11.7,+2.6
1415,BOS,Wright,2%,16.0,13.2,+2.8,+1.1,+0.1,+1.0,+2.2
1415,BOS,Sullinger,39%,18.8,17.4,+1.4,-0.8,+0.8,-1.5,+0.4
1415,BOS,Wallace,7%,6.6,10.5,-4.0,+4.9,-0.2,+5.1,-1.0
1415,BOS,Rondo,18%,16.5,17.8,-1.3,-1.2,+0.4,-1.6,-1.4
1415,BOS,Green,27%,15.2,14.7,+0.5,-4.8,+2.0,-6.8,-1.9
1415,BOS,Bass,49%,17.3,15.9,+1.4,-4.4,+4.5,-8.9,-2.0
1415,BOS,Turner,57%,13.5,14.4,-0.9,-2.2,+3.2,-5.4,-2.4
1415,BOS,Zeller,44%,20.3,22.0,-1.6,-3.3,+2.8,-6.1,-3.1
1415,BOS,Pressey,15%,12.3,17.0,-4.8,+0.2,+0.1,+0.1,-3.1
1415,BOS,Smart,45%,11.5,17.5,-6.1,+1.6,-1.0,+2.6,-3.2
1415,BOS,Bradley,61%,11.7,14.1,-2.5,-1.7,+3.1,-4.8,-3.2
1415,BOS,Young,8%,8.7,15.4,-6.7,+0.4,+0.1,+0.3,-4.4
1415,BOS,Nelson,3%,8.7,21.3,-12.5,-4.4,+0.3,-4.7,-9.9
1415,BOS,Randolph,1%,12.0,21.3,-9.3,-13.5,+0.2,-13.7,-10.7
1415,BOS,Powell,0%,36.9,48.2,-11.2,-31.5,+0.2,-31.7,-17.5
