Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1415,CHI,Butler,63%,22.7,13.1,+9.7,+4.5,+0.3,+4.2,+7.9
1415,CHI,Gasol,67%,24.4,17.1,+7.3,+3.4,+2.1,+1.3,+5.3
1415,CHI,Mirotic,42%,19.1,15.2,+3.9,+4.9,+1.6,+3.4,+3.7
1415,CHI,Dunleavy,46%,12.4,11.3,+1.2,+5.5,+0.8,+4.6,+2.3
1415,CHI,Gibson,43%,17.3,14.3,+3.0,+1.1,+4.4,-3.3,+0.9
1415,CHI,Rose,38%,16.2,15.8,+0.4,+3.8,+2.4,+1.4,+0.7
1415,CHI,Snell,36%,10.7,10.7,+0.1,+1.8,+3.6,-1.8,-0.5
1415,CHI,Noah,51%,16.7,17.1,-0.5,+1.9,+4.1,-2.3,-1.1
1415,CHI,Brooks,47%,14.8,18.9,-4.1,+5.3,+0.8,+4.5,-1.2
1415,CHI,Mohammed,3%,8.4,14.7,-6.3,+3.7,+2.9,+0.8,-3.9
1415,CHI,Moore,13%,10.8,15.0,-4.1,-2.6,+3.8,-6.3,-4.9
1415,CHI,Hinrich,40%,7.0,17.2,-10.2,+1.2,+4.2,-3.0,-7.8
1415,CHI,McDermott,8%,6.1,20.5,-14.4,-12.3,+4.3,-16.6,-15.1
1415,CHI,Bairstow,2%,1.5,21.3,-19.8,-15.1,+3.3,-18.4,-19.3
