Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1415,DEN,Gallinari,36%,17.6,13.5,+4.1,+0.6,-5.8,+6.4,+4.9
1415,DEN,Lawson,67%,19.4,17.0,+2.4,-0.6,-9.5,+8.9,+4.5
1415,DEN,Barton,17%,16.7,12.5,+4.2,-1.8,-3.9,+2.0,+3.5
1415,DEN,Faried,52%,19.7,18.4,+1.3,-0.9,-6.4,+5.6,+2.7
1415,DEN,Afflalo,44%,12.1,13.3,-1.2,-2.4,-4.4,+2.1,-0.1
1415,DEN,Arthur,25%,11.9,15.3,-3.5,-0.7,-4.4,+3.8,-1.1
1415,DEN,Nelson,18%,14.9,16.5,-1.6,-5.8,-3.0,-2.8,-2.0
1415,DEN,Chandler,62%,13.8,16.1,-2.3,-4.2,-2.4,-1.8,-2.2
1415,DEN,Nurkic,28%,15.8,21.5,-5.7,-0.3,-4.8,+4.5,-2.3
1415,DEN,Mozgov,23%,14.8,19.4,-4.6,-1.9,-4.0,+2.0,-2.4
1415,DEN,Gee,13%,14.8,17.7,-2.9,-7.4,-2.9,-4.5,-3.4
1415,DEN,Foye,27%,11.1,15.7,-4.6,-4.6,-3.1,-1.5,-3.6
1415,DEN,McGee,5%,17.9,21.2,-3.3,-10.6,-3.1,-7.4,-4.7
1415,DEN,Hickson,35%,15.3,19.2,-3.8,-7.9,-1.1,-6.8,-4.8
1415,DEN,Robinson,12%,10.5,16.2,-5.7,-10.0,-2.7,-7.4,-6.3
1415,DEN,Clark,1%,11.9,22.0,-10.1,-3.1,-3.5,+0.4,-6.6
1415,DEN,Green,10%,8.9,16.0,-7.1,-9.5,-2.8,-6.7,-6.9
1415,DEN,Harris,18%,4.7,18.4,-13.7,-11.5,-1.7,-9.8,-12.4
1415,DEN,Lauvergne,7%,10.9,21.5,-10.6,-20.1,-2.3,-17.8,-13.0
1415,DEN,Franklin,0%,4.3,48.1,-43.7,-32.4,-3.4,-28.9,-38.8
