Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1415,GSW,Curry,66%,30.0,14.6,+15.4,+16.8,-3.2,+20.0,+17.0
1415,GSW,Thompson,62%,22.0,10.7,+11.3,+15.2,+1.7,+13.5,+12.0
1415,GSW,Green,63%,17.9,14.2,+3.7,+16.1,-0.3,+16.4,+8.0
1415,GSW,Bogut,40%,17.5,15.5,+2.0,+16.1,+6.0,+10.1,+4.7
1415,GSW,Iguodala,52%,13.3,10.0,+3.4,+10.2,+9.9,+0.3,+2.3
1415,GSW,Barnes,59%,14.5,15.5,-1.0,+11.0,+8.7,+2.3,+0.1
1415,GSW,McAdoo,3%,19.2,19.3,-0.1,+3.2,+10.3,-7.2,-2.5
1415,GSW,Speights,31%,20.7,23.4,-2.7,+7.1,+11.4,-4.3,-3.2
1415,GSW,Barbosa,25%,16.2,15.4,+0.7,-0.0,+13.4,-13.5,-4.0
1415,GSW,Ezeli,13%,17.6,19.2,-1.6,+1.5,+11.3,-9.8,-4.3
1415,GSW,Livingston,37%,13.8,13.8,+0.1,+1.8,+15.0,-13.2,-4.4
1415,GSW,Lee,23%,19.4,20.6,-1.2,+1.3,+12.7,-11.4,-4.6
1415,GSW,Holiday,17%,12.7,14.6,-1.9,-1.0,+12.3,-13.3,-5.7
1415,GSW,Kuzmic,2%,14.1,24.0,-9.9,-26.1,+10.7,-36.8,-16.6
1415,GSW,Rush,7%,0.5,13.7,-13.2,-21.9,+12.4,-34.3,-18.8
