Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1415,MEM,Smith,1%,23.5,6.3,+17.2,+37.4,+2.9,+34.5,+21.5
1415,MEM,Randolph,58%,20.8,14.2,+6.6,+7.2,-2.2,+9.4,+7.5
1415,MEM,Gasol,68%,23.1,13.3,+9.8,+4.0,+1.5,+2.6,+7.4
1415,MEM,Allen,41%,15.5,13.8,+1.7,+7.2,+0.4,+6.9,+3.4
1415,MEM,Conley,56%,19.4,16.8,+2.6,+4.6,+1.4,+3.2,+2.8
1415,MEM,Calathes,21%,12.9,11.5,+1.4,+5.0,+2.7,+2.3,+1.7
1415,MEM,Stokes,3%,19.9,20.0,-0.1,+6.1,+3.1,+3.0,+1.0
1415,MEM,Koufos,34%,15.3,15.8,-0.5,+3.5,+3.1,+0.4,-0.2
1415,MEM,Green,34%,14.8,13.3,+1.5,-0.9,+5.4,-6.3,-1.1
1415,MEM,Adams,6%,13.2,16.3,-3.1,+3.7,+3.2,+0.5,-1.9
1415,MEM,Udrih,38%,16.2,17.0,-0.8,-0.1,+5.2,-5.2,-2.3
1415,MEM,Ja.Green,3%,16.8,15.8,+0.9,-5.9,+3.5,-9.4,-2.5
1415,MEM,Lee,59%,12.0,15.4,-3.5,+2.4,+4.3,-1.9,-2.9
1415,MEM,Prince,16%,11.0,15.4,-4.4,-1.1,+4.0,-5.1,-4.6
1415,MEM,Carter,27%,9.7,15.3,-5.6,+1.3,+3.9,-2.7,-4.6
1415,MEM,Pondexter,14%,7.2,14.5,-7.3,-0.4,+3.8,-4.2,-6.2
1415,MEM,Leuer,21%,12.7,19.8,-7.1,-1.6,+4.5,-6.1,-6.8
