Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1415,MIA,Whiteside,29%,28.9,13.7,+15.3,-2.4,-2.7,+0.3,+10.3
1415,MIA,Wade,50%,22.5,12.7,+9.8,-1.5,-3.7,+2.3,+7.3
1415,MIA,Deng,61%,16.7,13.6,+3.1,-0.2,-6.4,+6.1,+4.1
1415,MIA,Bosh,39%,21.2,15.6,+5.6,-3.1,-2.3,-0.8,+3.5
1415,MIA,Andersen,29%,17.9,18.3,-0.4,+0.0,-3.6,+3.7,+0.9
1415,MIA,G.Dragic,23%,20.2,19.6,+0.6,-1.6,-2.9,+1.2,+0.8
1415,MIA,Ennis,27%,12.3,15.1,-2.7,-0.3,-3.4,+3.1,-0.8
1415,MIA,McRoberts,8%,11.2,17.4,-6.2,+5.2,-3.2,+8.4,-1.3
1415,MIA,Chalmers,60%,12.4,14.1,-1.7,-2.9,-2.1,-0.8,-1.4
1415,MIA,Johnson,15%,12.9,16.1,-3.2,-5.2,-2.1,-3.0,-3.1
1415,MIA,Beasley,13%,11.1,18.0,-6.9,+0.3,-3.0,+3.3,-3.5
1415,MIA,Walker,16%,8.4,16.3,-7.8,+0.0,-3.1,+3.1,-4.2
1415,MIA,Williams,23%,11.9,17.8,-5.9,-4.5,-2.0,-2.5,-4.8
1415,MIA,Granger,16%,9.0,14.2,-5.2,-8.3,-1.5,-6.8,-5.7
1415,MIA,Napier,26%,9.9,20.3,-10.4,-1.7,-2.9,+1.3,-6.5
1415,MIA,Brown,2%,4.6,11.7,-7.1,-8.7,-2.5,-6.2,-6.8
1415,MIA,Cole,29%,10.4,19.5,-9.1,-5.9,-1.2,-4.7,-7.6
1415,MIA,Dawkins,1%,-6.4,1.9,-8.3,-8.9,-2.6,-6.3,-7.6
1415,MIA,Hamilton,7%,10.3,18.0,-7.7,-12.3,-1.8,-10.5,-8.6
1415,MIA,Haslem,25%,11.6,22.9,-11.3,-7.3,-1.0,-6.3,-9.6
1415,MIA,Z.Dragic,2%,7.9,23.0,-15.2,-10.0,-2.5,-7.6,-12.6
