Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1415,NYK,Anthony,36%,22.5,12.1,+10.4,-3.6,-12.4,+8.8,+9.9
1415,NYK,Stoudemire,22%,20.9,17.8,+3.0,-1.9,-11.3,+9.4,+5.1
1415,NYK,Shved,11%,21.7,17.9,+3.8,-4.0,-9.9,+5.9,+4.5
1415,NYK,Prigioni,20%,13.6,14.7,-1.1,-5.6,-10.1,+4.5,+0.8
1415,NYK,Galloway,37%,12.8,13.6,-0.8,-8.9,-9.4,+0.5,-0.4
1415,NYK,JR.Smith,16%,11.8,15.2,-3.4,-5.9,-9.9,+4.0,-1.0
1415,NYK,Acy,32%,12.8,16.8,-4.0,-7.8,-9.9,+2.1,-1.9
1415,NYK,Wear,17%,8.8,14.3,-5.5,-5.7,-10.0,+4.2,-2.3
1415,NYK,Bargnani,20%,17.4,16.4,+1.0,-16.5,-7.4,-9.1,-2.4
1415,NYK,Aldrich,25%,19.7,21.3,-1.6,-13.4,-7.9,-5.5,-2.9
1415,NYK,Ledo,6%,7.4,11.3,-4.0,-10.3,-9.2,-1.1,-3.0
1415,NYK,Amundson,22%,13.3,19.4,-6.1,-7.2,-9.8,+2.6,-3.2
1415,NYK,Hardaway,42%,12.3,16.4,-4.1,-10.1,-8.6,-1.5,-3.2
1415,NYK,Shumpert,16%,12.4,18.5,-6.1,-8.2,-9.4,+1.2,-3.7
1415,NYK,Thomas,26%,8.8,14.2,-5.4,-10.8,-8.7,-2.1,-4.3
1415,NYK,Dalembert,14%,12.7,16.8,-4.0,-15.5,-8.2,-7.3,-5.1
1415,NYK,Larkin,47%,11.5,19.7,-8.2,-10.2,-8.4,-1.8,-6.0
1415,NYK,Early,16%,8.6,16.0,-7.4,-12.1,-8.7,-3.4,-6.1
1415,NYK,Calderon,32%,11.8,19.1,-7.3,-12.8,-7.5,-5.3,-6.6
1415,NYK,Jason.Smith,45%,12.6,21.1,-8.5,-11.5,-7.4,-4.0,-7.0
