Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1415,SAC,Cousins,51%,27.0,17.4,+9.5,+1.4,-8.9,+10.3,+9.8
1415,SAC,Stockton,1%,11.3,12.2,-0.9,+33.4,-4.0,+37.4,+9.4
1415,SAC,Q.Miller,2%,11.6,4.2,+7.4,+6.3,-3.8,+10.1,+8.3
1415,SAC,Gay,61%,20.7,13.9,+6.8,-2.2,-5.9,+3.7,+5.8
1415,SAC,Collison,39%,18.5,14.8,+3.7,+1.0,-6.7,+7.8,+5.1
1415,SAC,Casspi,36%,15.4,13.1,+2.3,-6.1,-2.3,-3.8,+0.2
1415,SAC,McLemore,67%,10.8,16.6,-5.7,-0.7,-9.9,+9.2,-0.8
1415,SAC,A.Miller,16%,13.1,16.2,-3.1,-1.7,-4.0,+2.3,-1.3
1415,SAC,Evans,19%,12.8,17.6,-4.8,-2.7,-3.9,+1.2,-2.8
1415,SAC,McCallum,36%,13.1,16.3,-3.1,-7.9,-1.3,-6.7,-4.3
1415,SAC,Landry,30%,15.9,19.0,-3.1,-8.7,-1.5,-7.2,-4.5
1415,SAC,Williams,37%,13.6,17.1,-3.6,-8.6,-0.8,-7.8,-5.0
1415,SAC,Hollins,11%,14.4,20.9,-6.6,-5.6,-3.4,-2.1,-5.1
1415,SAC,Thompson,50%,11.1,18.1,-7.0,-4.6,-2.8,-1.8,-5.3
1415,SAC,Stauskas,28%,7.6,18.0,-10.4,-5.5,-3.0,-2.5,-7.8
1415,SAC,Sessions,16%,8.2,18.4,-10.1,-11.7,-2.1,-9.6,-10.0
