Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1415,WAS,Wall,71%,20.9,17.3,+3.6,+4.7,-9.2,+13.9,+7.0
1415,WAS,Gortat,61%,19.8,16.9,+2.9,+5.0,-6.2,+11.2,+5.6
1415,WAS,Beal,53%,14.5,10.6,+4.0,+4.4,-3.4,+7.8,+5.3
1415,WAS,Nene,42%,15.2,12.9,+2.3,+4.7,-2.2,+6.9,+3.8
1415,WAS,Pierce,48%,16.1,14.6,+1.5,+4.1,-2.4,+6.6,+3.2
1415,WAS,Sessions,14%,15.7,10.7,+4.9,-0.5,+0.9,-1.4,+2.8
1415,WAS,Porter,36%,12.3,10.2,+2.1,-1.1,+1.7,-2.9,+0.4
1415,WAS,Gooden,22%,12.6,13.2,-0.6,-0.1,+0.9,-1.0,-0.8
1415,WAS,Humphries,34%,16.7,15.6,+1.1,-3.0,+2.6,-5.5,-1.1
1415,WAS,Murry,0%,3.0,9.5,-6.5,+5.6,+0.7,+4.9,-2.7
1415,WAS,Butler,38%,12.0,14.7,-2.7,-1.8,+2.2,-4.1,-3.2
1415,WAS,A.Miller,16%,15.2,16.3,-1.1,-8.1,+2.4,-10.5,-4.2
1415,WAS,Temple,18%,11.6,17.6,-6.0,-3.1,+1.6,-4.6,-5.5
1415,WAS,Seraphin,31%,13.2,16.7,-3.5,-6.3,+3.9,-10.2,-5.7
1415,WAS,Webster,9%,6.0,14.1,-8.1,-18.4,+2.6,-21.0,-12.4
1415,WAS,Blair,5%,8.1,28.1,-19.9,-16.2,+1.5,-17.7,-19.2
1415,WAS,Bynum,2%,4.0,26.2,-22.2,-36.1,+1.3,-37.4,-24.8
1415,WAS,Rice,1%,-5.2,33.5,-38.6,-24.9,+1.0,-25.9,-34.4
