Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1516,DAL,Nowitzki,59%,20.9,15.5,+5.3,+5.2,-8.2,+13.4,+8.0
1516,DAL,Parsons,45%,17.9,13.1,+4.8,+0.2,-0.7,+0.8,+3.5
1516,DAL,Lee,11%,26.7,20.0,+6.7,-4.9,+0.3,-5.1,+2.8
1516,DAL,Mejri,10%,18.6,21.0,-2.4,+5.7,-1.0,+6.6,+0.6
1516,DAL,Matthews,66%,11.7,14.2,-2.5,+1.7,-4.2,+5.9,+0.3
1516,DAL,Williams,53%,15.8,16.7,-0.9,-0.1,-0.5,+0.4,-0.5
1516,DAL,Harris,32%,14.3,13.0,+1.4,-3.3,+1.1,-4.4,-0.5
1516,DAL,Evans,6%,14.1,11.2,+2.9,-7.6,+0.2,-7.8,-0.7
1516,DAL,Pachulia,50%,18.1,19.8,-1.7,-0.2,-0.4,+0.1,-1.1
1516,DAL,Anderson,16%,13.6,16.0,-2.4,+0.4,-0.4,+0.8,-1.3
1516,DAL,Powell,25%,18.6,18.6,+0.0,-3.9,+0.9,-4.7,-1.6
1516,DAL,Barea,42%,16.6,18.5,-1.9,-1.9,+0.9,-2.8,-2.2
1516,DAL,Felton,55%,12.9,15.2,-2.3,-1.4,+1.0,-2.3,-2.3
1516,DAL,McGee,9%,21.9,22.3,-0.4,-7.0,+0.4,-7.4,-2.8
1516,DAL,Jenkins,5%,7.6,16.2,-8.6,+2.0,-0.4,+2.4,-4.9
1516,DAL,Villanueva,17%,12.9,18.7,-5.8,-6.7,+1.0,-7.7,-6.4
