Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1516,DET,Meeks,1%,14.5,-2.0,+16.5,+10.1,+0.5,+9.6,+14.2
1516,DET,Harris,23%,20.1,12.4,+7.6,+2.7,+0.0,+2.7,+6.0
1516,DET,Jackson,61%,21.0,16.1,+4.9,+2.6,-2.4,+5.0,+4.9
1516,DET,Drummond,67%,23.7,21.8,+1.9,+2.3,-2.7,+5.0,+2.9
1516,DET,Caldwell-Pope,70%,13.3,13.3,+0.0,+3.0,-5.0,+8.0,+2.7
1516,DET,Morris,72%,13.8,13.6,+0.3,+2.6,-4.5,+7.1,+2.6
1516,DET,Hilliard,10%,11.3,11.8,-0.4,-0.4,+0.7,-1.1,-0.7
1516,DET,Tolliver,34%,11.3,12.8,-1.5,+0.4,+0.7,-0.3,-1.1
1516,DET,Baynes,31%,19.6,20.7,-1.1,-2.1,+1.8,-3.9,-2.0
1516,DET,Ilyasova,36%,15.3,17.3,-2.0,-1.0,+1.5,-2.5,-2.2
1516,DET,Bullock,11%,13.3,13.2,+0.1,-6.5,+1.5,-8.0,-2.6
1516,DET,Jennings,10%,14.4,20.3,-5.9,+4.2,+0.2,+4.0,-2.6
1516,DET,Johnson,42%,9.4,14.1,-4.7,-3.8,+3.9,-7.7,-5.7
1516,DET,Blake,25%,10.5,19.5,-9.0,-2.6,+1.7,-4.3,-7.4
1516,DET,Anthony,2%,15.5,22.6,-7.1,-8.5,+0.8,-9.4,-7.8
1516,DET,Dinwiddie,4%,9.7,18.9,-9.2,-16.9,+1.3,-18.2,-12.2
1516,DET,Harper,1%,7.2,20.2,-13.0,-43.7,+1.0,-44.7,-18.7
