Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1516,NOP,Davis,55%,27.6,16.8,+10.8,-4.4,-3.0,-1.5,+6.7
1516,NOP,Anderson,51%,18.7,13.8,+4.9,+0.7,-8.4,+9.2,+6.3
1516,NOP,Evans,19%,19.6,13.3,+6.3,-0.9,-4.5,+3.6,+5.4
1516,NOP,Frazier,12%,21.0,15.9,+5.1,-0.9,-4.2,+3.2,+4.5
1516,NOP,Holiday,46%,21.3,20.2,+1.1,+0.6,-7.5,+8.1,+3.4
1516,NOP,Gordon,37%,14.6,13.4,+1.1,-2.3,-4.7,+2.4,+1.6
1516,NOP,Ennis,7%,19.7,18.2,+1.5,-3.4,-3.8,+0.4,+1.1
1516,NOP,Babbitt,21%,12.7,15.5,-2.8,-1.5,-4.4,+2.9,-0.9
1516,NOP,Smith,16%,17.9,20.7,-2.8,-2.5,-4.0,+1.5,-1.4
1516,NOP,Ajinca,22%,15.4,19.5,-4.0,-3.7,-3.8,+0.1,-2.6
1516,NOP,Douglas,32%,16.1,19.0,-2.9,-5.2,-3.1,-2.1,-2.7
1516,NOP,Cole,30%,11.7,17.7,-6.1,-4.1,-3.6,-0.4,-4.2
1516,NOP,Gee,41%,9.4,14.9,-5.5,-5.8,-2.4,-3.4,-4.8
1516,NOP,Dejean-Jones,7%,10.7,16.9,-6.2,-7.2,-3.5,-3.7,-5.4
1516,NOP,Hamilton,8%,13.6,23.2,-9.6,-10.1,-3.2,-6.9,-8.7
1516,NOP,Cunningham,50%,9.4,19.6,-10.1,-6.8,-0.8,-6.0,-8.8
1516,NOP,Asik,30%,12.6,24.6,-12.0,-8.2,-1.9,-6.3,-10.1
1516,NOP,Perkins,14%,7.0,25.7,-18.7,-6.8,-3.3,-3.5,-13.7
1516,NOP,Robinson,1%,2.8,15.5,-12.7,-41.1,-3.6,-37.5,-18.5
1516,NOP,Johnson,1%,-2.7,12.1,-14.8,-30.9,-3.4,-27.5,-19.1
1516,NOP,Fredette,0%,-2.4,44.8,-47.1,-72.9,-3.6,-69.3,-41.4
