Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1516,PHI,Landry,14%,24.8,20.3,+4.5,-9.3,-10.3,+1.1,+3.4
1516,PHI,McConnell,41%,16.1,16.6,-0.5,-8.2,-11.5,+3.3,+0.8
1516,PHI,Pressey,4%,13.1,17.0,-3.9,-2.6,-10.5,+8.0,+0.1
1516,PHI,Covington,48%,14.6,18.0,-3.4,-7.1,-13.0,+5.8,-0.3
1516,PHI,Holmes,18%,17.3,21.9,-4.5,-3.5,-11.6,+8.1,-0.3
1516,PHI,Smith,41%,15.6,18.2,-2.5,-9.4,-10.7,+1.4,-1.2
1516,PHI,Weems,2%,0.8,6.7,-5.9,-4.3,-10.3,+6.0,-1.9
1516,PHI,Grant,52%,13.8,15.7,-1.9,-11.4,-8.9,-2.5,-2.1
1516,PHI,Thompson,54%,10.0,16.0,-6.0,-8.2,-12.5,+4.2,-2.6
1516,PHI,Noel,50%,18.1,22.1,-4.0,-11.2,-9.1,-2.1,-3.3
1516,PHI,Okafor,40%,18.7,20.4,-1.8,-15.0,-6.9,-8.1,-3.9
1516,PHI,Stauskas,46%,10.0,15.5,-5.5,-10.7,-9.7,-1.0,-4.0
1516,PHI,Brand,6%,12.9,19.9,-7.0,-8.3,-10.3,+2.0,-4.0
1516,PHI,Canaan,50%,11.9,16.4,-4.4,-11.9,-8.5,-3.4,-4.1
1516,PHI,Wood,4%,18.1,24.3,-6.2,-16.2,-9.9,-6.3,-6.2
1516,PHI,Sampson,17%,8.4,17.2,-8.8,-11.8,-9.8,-2.0,-6.5
1516,PHI,Marshall,10%,7.1,23.0,-15.8,-13.7,-9.8,-3.9,-11.8
1516,PHI,Wroten,4%,1.5,18.4,-17.0,-22.6,-9.7,-12.9,-15.6
