Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1617,LAL,Williams,36%,27.4,16.2,+11.2,+0.9,-11.2,+12.1,+11.5
1617,LAL,Ennis,10%,16.6,19.0,-2.3,+6.5,-8.4,+14.9,+3.4
1617,LAL,Nwaba,10%,13.8,14.1,-0.3,+1.4,-7.8,+9.3,+2.9
1617,LAL,NanceJr,37%,18.2,17.8,+0.5,-4.4,-8.3,+4.0,+1.6
1617,LAL,Young,39%,16.2,17.9,-1.7,-6.4,-7.2,+0.7,-0.9
1617,LAL,Robinson,14%,20.3,21.8,-1.5,-7.1,-6.8,-0.3,-1.1
1617,LAL,Brewer,9%,15.1,16.5,-1.4,-8.2,-6.8,-1.4,-1.4
1617,LAL,Deng,38%,11.7,14.6,-2.9,-6.3,-7.2,+0.9,-1.6
1617,LAL,Black,28%,17.1,23.3,-6.3,-2.2,-8.7,+6.4,-2.0
1617,LAL,Clarkson,61%,15.0,16.2,-1.2,-8.5,-4.4,-4.1,-2.1
1617,LAL,Russell,46%,17.6,21.4,-3.8,-9.5,-4.6,-4.9,-4.2
1617,LAL,Ingram,58%,9.9,15.3,-5.4,-8.1,-5.2,-2.9,-4.6
1617,LAL,Randle,54%,18.9,23.5,-4.6,-10.2,-2.9,-7.3,-5.5
1617,LAL,Mozgov,28%,14.2,21.4,-7.2,-8.5,-6.3,-2.2,-5.6
1617,LAL,Zubac,15%,19.6,29.8,-10.2,-10.7,-6.2,-4.5,-8.3
1617,LAL,Huertas,6%,10.5,23.6,-13.0,-8.7,-6.8,-2.0,-9.3
1617,LAL,Calderon,7%,10.5,24.0,-13.4,-21.7,-5.7,-16.0,-14.3
1617,LAL,WorldPeace,4%,7.3,24.4,-17.1,-17.7,-6.4,-11.3,-15.2
