Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1819,BKN,Russell,61%,23.8,17.3,+6.6,+0.4,-0.9,+1.3,+4.8
1819,BKN,LeVert,27%,18.2,14.7,+3.5,-0.6,+0.1,-0.7,+2.1
1819,BKN,Dinwiddie,48%,19.9,16.6,+3.4,-2.1,+1.8,-3.9,+0.9
1819,BKN,Hollis-Jefferson,31%,15.4,13.8,+1.6,-0.4,+0.1,-0.5,+0.9
1819,BKN,Napier,25%,18.7,18.1,+0.6,+0.7,-0.3,+1.0,+0.7
1819,BKN,Harris,57%,16.6,13.9,+2.7,-1.7,+2.1,-3.8,+0.5
1819,BKN,Faried,3%,25.7,15.8,+9.9,-8.4,+0.2,-8.6,+0.4
1819,BKN,Williams,1%,43.3,13.9,+29.5,+31.3,-0.3,+31.6,+0.3
1819,BKN,Davis,36%,21.3,23.5,-2.2,+3.2,-1.9,+5.1,+0.2
1819,BKN,Creek,1%,26.2,9.5,+16.7,+10.9,-0.2,+11.1,+0.1
1819,BKN,McCall,0%,12.7,22.6,-9.9,+97.7,-0.3,+98.0,+0.0
1819,BKN,Carroll,43%,15.0,17.3,-2.3,+1.4,-1.2,+2.6,-0.7
1819,BKN,Pinson,5%,10.3,12.9,-2.6,-0.2,-0.1,-0.2,-1.8
1819,BKN,Crabbe,28%,9.6,14.6,-5.0,+0.2,-0.2,+0.3,-3.2
1819,BKN,Musa,1%,7.6,19.0,-11.5,+12.9,-0.2,+13.1,-3.3
1819,BKN,Kurucs,32%,13.6,19.2,-5.6,-0.1,-0.1,-0.0,-3.7
1819,BKN,Dudley,30%,9.6,16.4,-6.7,+1.4,-0.7,+2.2,-3.8
1819,BKN,Allen,52%,22.7,28.5,-5.9,-2.8,+2.9,-5.7,-5.8
1819,BKN,Graham,18%,7.6,18.0,-10.4,+2.0,-0.5,+2.5,-6.1
