Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1819,CLE,Love,15%,25.0,19.7,+5.3,-4.6,-10.7,+6.1,+5.5
1819,CLE,Clarkson,56%,20.8,18.0,+2.8,-7.7,-12.3,+4.6,+3.4
1819,CLE,Korver,6%,14.3,12.0,+2.3,-7.8,-9.9,+2.1,+2.2
1819,CLE,NanceJr.,45%,23.1,20.8,+2.2,-8.8,-10.5,+1.7,+2.0
1819,CLE,Payne,4%,18.9,19.8,-0.9,-1.4,-10.1,+8.8,+0.2
1819,CLE,Holland,0%,-68.6,-68.6,+0.0,+67.0,-9.8,+76.7,+0.1
1819,CLE,Simmons,0%,-27.3,-17.1,-10.2,+80.0,-9.8,+89.8,+0.0
1819,CLE,Preston,0%,0.0,0.0,+0.0,+0.0,-9.8,+9.8,+0.0
1819,CLE,Nwaba,25%,15.5,19.7,-4.2,-3.7,-11.7,+8.0,-0.1
1819,CLE,Dellavedova,18%,14.4,18.5,-4.1,-3.4,-11.2,+7.7,-0.2
1819,CLE,Zizic,27%,20.2,25.1,-4.9,-3.6,-12.1,+8.4,-0.4
1819,CLE,Thompson,30%,22.7,22.1,+0.6,-12.3,-8.6,-3.6,-0.8
1819,CLE,Hood,31%,16.0,17.3,-1.3,-11.9,-8.8,-3.2,-1.9
1819,CLE,Smith,6%,9.7,16.7,-7.0,-3.1,-10.1,+7.1,-2.3
1819,CLE,Burks,25%,16.6,19.1,-2.5,-13.0,-8.7,-4.3,-3.1
1819,CLE,Blossomgame,11%,12.8,21.0,-8.1,-4.8,-10.4,+5.6,-3.6
1819,CLE,Dekker,4%,17.4,24.3,-6.9,-10.7,-9.7,-1.0,-4.9
1819,CLE,Hill,9%,14.2,23.5,-9.3,-6.4,-10.1,+3.7,-5.0
1819,CLE,Jones,5%,14.5,24.6,-10.1,-5.8,-10.0,+4.2,-5.4
1819,CLE,Harrison,4%,8.0,19.0,-11.0,-4.1,-10.0,+5.9,-5.4
1819,CLE,Knight,16%,12.9,20.0,-7.1,-13.6,-9.0,-4.6,-6.2
1819,CLE,Osman,62%,14.4,20.8,-6.4,-12.8,-4.8,-8.0,-6.9
1819,CLE,Adel,5%,3.4,16.4,-12.9,-7.9,-9.8,+1.9,-8.0
1819,CLE,Stauskas,9%,14.2,24.6,-10.5,-13.2,-9.4,-3.8,-8.2
1819,CLE,Sexton,66%,14.9,24.7,-9.8,-12.6,-4.2,-8.4,-9.3
1819,CLE,Chriss,10%,13.2,34.6,-21.4,-18.2,-8.8,-9.4,-17.4
1819,CLE,Frye,9%,11.3,31.7,-20.4,-21.0,-8.7,-12.3,-17.7
1819,CLE,McCaw,1%,-0.7,33.4,-34.1,-19.7,-9.6,-10.1,-26.1
