Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1819,LAC,L.Williams,50%,24.5,17.1,+7.4,+4.7,-3.0,+7.7,+7.5
1819,LAC,Marjanovic,9%,30.6,19.9,+10.7,-1.0,+1.1,-2.1,+6.4
1819,LAC,Gallinari,52%,26.3,18.3,+7.9,+2.5,-0.9,+3.4,+6.4
1819,LAC,Harris,48%,23.0,15.2,+7.7,+0.4,+1.3,-0.9,+4.9
1819,LAC,Harrell,54%,28.7,25.6,+3.1,+1.4,+0.3,+1.1,+2.5
1819,LAC,Shamet,18%,14.0,14.3,-0.3,+6.5,-0.3,+6.9,+2.1
1819,LAC,MbahaMoute,2%,8.2,10.3,-2.0,+8.8,+0.7,+8.1,+0.1
1819,LAC,Zubac,13%,22.6,23.0,-0.4,+1.8,+0.7,+1.0,+0.1
1819,LAC,Delgado,0%,5.1,8.3,-3.1,+9.9,+0.8,+9.1,+0.0
1819,LAC,Beverley,54%,14.6,17.5,-2.9,+3.4,-2.1,+5.5,-0.1
1819,LAC,Green,12%,17.9,20.2,-2.3,-1.2,+1.1,-2.4,-2.3
1819,LAC,Teodosic,4%,7.5,15.4,-7.9,+8.5,+0.6,+7.9,-2.7
1819,LAC,Scott,19%,12.0,17.8,-5.8,+2.2,+0.6,+1.6,-3.3
1819,LAC,Motley,4%,23.8,23.5,+0.3,-10.9,+1.3,-12.2,-3.9
1819,LAC,Wallace,16%,8.9,16.9,-8.0,+4.4,+0.2,+4.2,-3.9
1819,LAC,Temple,13%,10.0,17.0,-7.0,+1.3,+0.8,+0.5,-4.5
1819,LAC,Gilgeous-Alexander,55%,16.5,20.9,-4.4,-2.4,+4.9,-7.3,-5.4
1819,LAC,Bradley,37%,6.8,14.6,-7.9,-2.1,+2.6,-4.8,-6.8
1819,LAC,Robinson,8%,9.1,18.1,-9.0,-3.4,+1.2,-4.6,-7.6
1819,LAC,Gortat,19%,16.1,25.2,-9.1,-6.3,+2.5,-8.8,-9.0
1819,LAC,Chandler,6%,7.5,16.8,-9.3,-9.1,+1.5,-10.5,-9.7
1819,LAC,Thornwell,8%,6.7,18.1,-11.4,-6.0,+1.4,-7.5,-10.1
