Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1819,MEM,Conley,59%,26.5,17.5,+9.0,+0.4,-7.0,+7.4,+8.5
1819,MEM,Valanciunas,13%,30.3,19.2,+11.1,+0.1,-3.0,+3.1,+8.5
1819,MEM,Casspi,13%,19.9,9.9,+10.0,+1.8,-3.3,+5.1,+8.4
1819,MEM,Miles,7%,13.4,11.8,+1.6,+14.0,-3.9,+17.9,+7.1
1819,MEM,Wright,20%,20.8,16.2,+4.6,+2.7,-4.0,+6.7,+5.3
1819,MEM,Caboclo,20%,15.2,12.4,+2.8,+0.1,-3.3,+3.4,+3.0
1819,MEM,Bradley,11%,17.9,14.1,+3.9,-1.9,-2.7,+0.8,+2.8
1819,MEM,Gasol,45%,21.3,18.4,+2.9,-1.4,-3.7,+2.3,+2.7
1819,MEM,Noah,17%,23.2,22.5,+0.7,+0.3,-3.2,+3.5,+1.6
1819,MEM,Zeller,2%,23.2,17.3,+5.9,+11.8,-2.9,+14.7,+0.9
1819,MEM,Anderson,32%,15.9,15.2,+0.8,-2.2,-2.8,+0.6,+0.7
1819,MEM,JacksonJr.,38%,20.0,20.5,-0.5,-3.4,-2.2,-1.2,-0.8
1819,MEM,Stephens,0%,7.0,-0.9,+7.9,-21.6,-2.6,-19.0,-1.1
1819,MEM,Green,23%,18.5,18.3,+0.2,-11.1,-0.1,-10.9,-3.5
1819,MEM,M.Brooks,10%,12.9,18.6,-5.7,-3.1,-2.6,-0.5,-4.0
1819,MEM,Dorsey,11%,16.3,21.4,-5.1,-4.7,-2.4,-2.3,-4.2
1819,MEM,Temple,39%,10.6,17.7,-7.1,-3.2,-2.2,-1.0,-5.1
1819,MEM,Selden,11%,10.6,16.7,-6.1,-6.4,-2.1,-4.3,-5.5
1819,MEM,Rabb,18%,19.9,26.1,-6.1,-6.4,-1.8,-4.6,-5.6
1819,MEM,Parsons,13%,10.8,18.7,-7.9,-4.5,-2.4,-2.2,-6.0
1819,MEM,Holiday,32%,11.0,18.1,-7.0,-5.3,-1.3,-3.9,-6.0
1819,MEM,D.Brooks,8%,7.3,18.8,-11.5,-2.4,-2.6,+0.3,-7.6
1819,MEM,Mack,30%,13.6,21.3,-7.6,-8.2,-0.2,-8.0,-7.8
1819,MEM,Carter,14%,9.7,18.8,-9.1,-7.2,-1.8,-5.4,-7.8
1819,MEM,Washburn,6%,8.2,20.8,-12.6,-4.3,-2.5,-1.8,-9.0
1819,MEM,Hannahs,1%,5.7,12.0,-6.3,-18.9,-2.5,-16.4,-9.7
1819,MEM,Watanabe,4%,4.5,24.1,-19.6,+6.2,-3.0,+9.2,-10.0
1819,MEM,Harrison,0%,6.1,58.6,-52.5,-45.0,-2.6,-42.4,-45.0
