Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1819,MIL,Antetokounmpo,60%,38.7,13.2,+25.4,+13.5,+2.3,+11.3,+20.7
1819,MIL,Bledsoe,58%,23.9,15.8,+8.1,+12.1,+4.8,+7.3,+7.8
1819,MIL,Brogdon,46%,22.1,15.4,+6.7,+11.4,+6.9,+4.4,+6.0
1819,MIL,Middleton,61%,20.7,15.1,+5.7,+11.2,+5.5,+5.7,+5.7
1819,MIL,Mirotic,8%,20.2,15.7,+4.5,+13.1,+8.6,+4.5,+4.5
1819,MIL,Duval,0%,58.1,-1.4,+59.5,+19.8,+9.0,+10.8,+0.4
1819,MIL,Lopez,59%,17.9,21.4,-3.5,+12.1,+4.5,+7.6,+0.2
1819,MIL,Morris,1%,15.7,-6.2,+21.9,+20.5,+8.9,+11.6,+0.2
1819,MIL,Henson,5%,21.5,17.8,+3.7,+0.3,+9.4,-9.2,-0.6
1819,MIL,DiVincenzo,10%,11.3,15.5,-4.3,+12.7,+8.6,+4.2,-1.4
1819,MIL,Hill,24%,11.9,16.5,-4.6,+9.8,+8.7,+1.0,-2.7
1819,MIL,Connaughton,32%,17.0,18.3,-1.3,+4.8,+10.9,-6.1,-2.9
1819,MIL,Snell,33%,13.3,16.0,-2.6,+6.4,+10.3,-3.8,-3.0
1819,MIL,Ilyasova,31%,14.3,19.9,-5.6,+9.6,+8.7,+0.9,-3.4
1819,MIL,Wilson,22%,13.1,17.4,-4.3,+4.3,+10.3,-6.0,-4.9
1819,MIL,Maker,10%,16.1,22.3,-6.2,+4.0,+9.6,-5.6,-6.0
1819,MIL,Brown,26%,13.8,17.4,-3.6,-0.0,+12.2,-12.2,-6.5
1819,MIL,Wood,2%,22.2,18.4,+3.8,-20.1,+9.4,-29.6,-7.3
1819,MIL,Dellavedova,2%,9.4,12.6,-3.2,-6.5,+9.4,-15.9,-7.4
1819,MIL,Colson,2%,16.1,21.6,-5.5,-10.9,+9.5,-20.4,-10.5
1819,MIL,Frazier,5%,14.7,21.9,-7.2,-9.3,+10.0,-19.3,-11.2
1819,MIL,Smith,1%,7.9,13.8,-5.9,-43.7,+9.5,-53.2,-13.9
1819,MIL,Canaan,1%,6.6,21.0,-14.4,-40.5,+9.4,-49.9,-19.6
1819,MIL,Gasol,1%,3.1,42.3,-39.1,-28.8,+9.3,-38.1,-36.1
