Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1819,ORL,Vucevic,64%,31.8,22.0,+9.8,+4.2,-5.4,+9.6,+9.7
1819,ORL,Carter-Williams,6%,19.8,16.3,+3.5,+14.4,-0.1,+14.6,+7.2
1819,ORL,Gordon,67%,18.8,14.9,+3.9,+2.0,-1.8,+3.8,+3.9
1819,ORL,Birch,16%,23.5,20.9,+2.6,+3.4,+0.2,+3.2,+2.8
1819,ORL,Ross,54%,19.2,14.9,+4.3,+0.1,+1.4,-1.3,+2.4
1819,ORL,Augustin,57%,19.4,19.8,-0.4,+3.6,-3.2,+6.9,+2.0
1819,ORL,Isaac,51%,15.9,13.7,+2.3,+0.2,+1.2,-1.0,+1.2
1819,ORL,Caupain,0%,41.4,4.2,+37.2,+26.7,+0.6,+26.0,+0.3
1819,ORL,Jefferson,2%,26.8,26.5,+0.3,+9.6,+0.6,+9.1,+0.3
1819,ORL,Mozgov,0%,0.0,0.0,+0.0,+0.0,+0.7,-0.7,+0.0
1819,ORL,Fournier,65%,15.2,18.7,-3.5,+1.8,-1.3,+3.1,-1.3
1819,ORL,Iwundu,31%,10.8,18.0,-7.2,+1.3,+0.4,+0.9,-4.5
1819,ORL,Simmons,21%,9.1,14.9,-5.9,-7.6,+3.0,-10.6,-7.4
1819,ORL,Briscoe,14%,8.6,20.5,-11.9,+1.8,+0.5,+1.2,-7.5
1819,ORL,Martin,8%,12.0,25.6,-13.6,+4.7,+0.4,+4.3,-7.6
1819,ORL,Grant,24%,13.5,19.8,-6.3,-7.7,+3.3,-11.1,-7.9
1819,ORL,Bamba,19%,18.2,21.7,-3.5,-15.2,+4.5,-19.8,-8.9
1819,ORL,FrazierJr.,1%,1.2,21.6,-20.4,-10.5,+0.8,-11.4,-17.4
