Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1819,SAS,Aldridge,68%,28.3,19.3,+9.0,+1.7,+1.8,-0.1,+5.9
1819,SAS,Gay,47%,22.0,16.5,+5.5,+4.3,-0.5,+4.8,+5.2
1819,SAS,DeRozan,68%,24.4,16.6,+7.9,+0.2,+4.9,-4.8,+3.7
1819,SAS,Bertans,41%,16.2,16.7,-0.4,+7.7,-2.5,+10.2,+3.1
1819,SAS,Poeltl,32%,23.6,22.7,+0.9,+3.3,+0.9,+2.4,+1.4
1819,SAS,White,44%,18.4,19.9,-1.5,+4.3,-0.3,+4.6,+0.5
1819,SAS,Gasol,8%,22.9,20.6,+2.3,-2.4,+2.1,-4.4,+0.1
1819,SAS,Murray,0%,0.0,0.0,+0.0,+0.0,+1.7,-1.7,+0.0
1819,SAS,Mills,48%,16.3,21.7,-5.4,+5.1,-1.5,+6.6,-1.4
1819,SAS,Belinelli,46%,14.9,16.2,-1.3,+0.9,+2.4,-1.5,-1.4
1819,SAS,Pondexter,7%,16.9,18.1,-1.2,-2.4,+2.0,-4.4,-2.3
1819,SAS,Forbes,58%,14.9,17.8,-2.8,-0.2,+4.3,-4.5,-3.4
1819,SAS,Metu,4%,8.4,20.2,-11.8,-0.3,+1.8,-2.1,-8.6
1819,SAS,Eubanks,3%,19.4,26.6,-7.2,-9.3,+2.0,-11.3,-8.6
1819,SAS,Cunningham,23%,12.6,20.3,-7.7,-9.1,+5.0,-14.1,-9.8
1819,SAS,WalkerIV,3%,13.9,21.7,-7.8,-23.3,+2.5,-25.7,-13.8
1819,SAS,Motiejunas,0%,-1.8,46.7,-48.4,-62.1,+1.9,-64.0,-42.3
