Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1819,UTA,Gobert,65%,30.4,19.6,+10.8,+7.2,+1.9,+5.3,+9.0
1819,UTA,Mitchell,66%,21.3,16.9,+4.4,+6.9,+2.2,+4.7,+4.5
1819,UTA,Sefolosha,15%,15.4,11.3,+4.1,+9.9,+4.5,+5.4,+4.5
1819,UTA,Favors,45%,26.8,20.3,+6.6,+5.3,+5.4,-0.2,+4.3
1819,UTA,Ingles,65%,16.8,15.2,+1.6,+8.1,+0.1,+8.0,+3.7
1819,UTA,Neto,12%,16.9,20.2,-3.3,+18.2,+3.6,+14.6,+2.7
1819,UTA,Korver,28%,14.1,13.7,+0.4,+7.7,+4.5,+3.2,+1.3
1819,UTA,Crowder,55%,15.2,15.0,+0.2,+5.1,+5.6,-0.4,-0.0
1819,UTA,Rubio,48%,17.5,19.3,-1.8,+6.5,+4.3,+2.2,-0.5
1819,UTA,O'Neale,42%,11.4,14.1,-2.7,+5.1,+5.5,-0.5,-1.9
1819,UTA,Exum,17%,14.0,17.3,-3.3,+3.5,+5.7,-2.2,-2.9
1819,UTA,Udoh,8%,26.2,23.5,+2.6,-8.0,+6.5,-14.4,-3.0
1819,UTA,Burks,7%,15.6,16.2,-0.6,-4.4,+6.1,-10.4,-3.8
1819,UTA,Niang,13%,16.4,18.1,-1.6,-8.9,+7.5,-16.3,-6.5
1819,UTA,Allen,10%,9.2,19.1,-9.9,-13.8,+7.6,-21.3,-13.7
1819,UTA,Mitrou-Long,2%,2.8,21.2,-18.4,-23.2,+5.9,-29.1,-22.0
1819,UTA,Cavanaugh,1%,6.3,25.0,-18.7,-47.0,+5.9,-52.8,-22.5
1819,UTA,Bradley,1%,23.2,53.2,-30.0,-24.3,+5.6,-29.9,-30.0
