0,1,2,3,4,5,6,7,8
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
J.Johnson,84%,19.5,14.7,+4.8,-0.2,-10.0,+9.8,+6.8
Smith,72%,21.4,16.2,+5.3,-0.6,-4.9,+4.3,+4.9
Childress,57%,19.8,15.8,+4.0,-2.7,-0.6,-2.1,+1.5
Lue,14%,14.4,17.3,-2.9,+1.8,-2.4,+4.1,-0.1
A.Johnson,28%,13.8,15.5,-1.7,-0.2,-2.4,+2.2,-0.2
Bibby,28%,16.9,20.0,-3.1,+0.2,-2.5,+2.7,-0.8
Horford,64%,16.6,18.6,-2.0,-2.1,-1.2,-0.8,-1.5
M.Williams,70%,16.4,18.4,-2.0,-2.8,+0.6,-3.5,-2.6
S.Williams,10%,11.2,19.5,-8.2,+0.5,-2.0,+2.5,-3.9
Stoudamire,10%,12.8,18.4,-5.6,-3.6,-1.6,-2.0,-4.1
Wright,4%,4.5,11.9,-7.4,-2.3,-1.7,-0.5,-4.6
Pachulia,24%,12.6,21.5,-8.9,-2.4,-1.6,-0.8,-5.7
West,7%,9.8,20.5,-10.7,-7.3,-1.4,-6.0,-8.8
Law,22%,8.8,19.4,-10.7,-6.7,-0.4,-6.3,-8.9
Richardson,2%,6.8,19.3,-12.4,-13.0,-1.5,-11.5,-12.1
Jones,4%,7.7,29.1,-21.4,-12.9,-1.3,-11.6,-17.5
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Garnett,59%,28.7,12.7,+16.0,+15.2,+3.1,+12.1,+14.5
Pierce,73%,22.4,12.1,+10.2,+13.1,+2.5,+10.7,+10.4
R.Allen,65%,18.5,12.7,+5.9,+11.4,+8.0,+3.4,+4.9
Rondo,58%,17.7,16.3,+1.4,+12.9,+6.5,+6.3,+3.4
Perkins,48%,14.9,16.5,-1.6,+12.6,+8.0,+4.5,+0.9
Powe,20%,23.6,19.6,+4.0,+6.0,+11.3,-5.3,+0.3
House,37%,14.9,13.3,+1.6,+9.0,+10.9,-1.9,+0.2
T.Allen,36%,12.7,11.2,+1.5,+7.6,+11.7,-4.1,-0.7
Davis,24%,12.8,15.8,-3.0,+5.3,+11.8,-6.4,-4.4
Posey,46%,13.9,16.8,-3.0,+5.0,+14.7,-9.7,-5.6
Cassell,8%,12.9,19.0,-6.1,+1.9,+10.9,-9.0,-7.2
Scalabrine,13%,6.0,13.8,-7.8,+4.4,+11.1,-6.7,-7.4
Brown,5%,11.6,17.6,-6.0,-0.7,+10.8,-11.5,-8.2
Pruitt,2%,9.9,12.1,-2.2,-6.6,+10.6,-17.2,-8.2
Pollard,4%,9.8,22.6,-12.8,+3.9,+10.5,-6.6,-10.3
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Carter,75%,21.3,15.3,+6.0,-1.9,-14.1,+12.2,+8.5
Thomas,0%,-10.4,-5.4,-5.0,+17.7,-5.1,+22.8,+6.1
Harris,21%,18.9,17.3,+1.6,-1.5,-6.0,+4.5,+2.8
Jefferson,81%,19.7,16.8,+2.9,-4.6,-6.8,+2.2,+2.6
Kidd,48%,18.0,16.1,+1.9,-3.1,-6.8,+3.6,+2.6
Swift,7%,14.4,17.2,-2.8,-4.9,-5.0,+0.2,-1.6
Diop,10%,11.7,17.0,-5.3,-1.7,-5.4,+3.7,-1.7
Boone,45%,16.6,20.7,-4.1,-4.0,-5.8,+1.8,-1.8
S.Williams,32%,15.3,18.1,-2.8,-7.0,-4.1,-2.9,-2.9
Wright,27%,9.4,13.1,-3.8,-7.8,-4.0,-3.8,-3.8
Nachbar,42%,14.3,18.1,-3.8,-7.9,-3.0,-4.9,-4.2
Armstrong,14%,10.0,13.2,-3.2,-10.2,-4.2,-6.0,-4.3
Allen,19%,11.5,18.1,-6.6,-6.1,-4.8,-1.3,-4.5
Gill,4%,13.6,19.2,-5.6,-11.7,-4.8,-6.9,-6.1
M.Williams,22%,12.8,18.9,-6.1,-10.2,-3.6,-6.6,-6.3
Krstic,20%,10.1,22.5,-12.5,-4.7,-5.1,+0.4,-7.3
Hassell,8%,4.1,14.2,-10.1,-8.1,-4.8,-3.3,-7.3
Magloire,7%,2.4,17.2,-14.8,-2.8,-5.2,+2.4,-7.9
Collins,17%,2.4,17.2,-14.8,-5.4,-4.9,-0.5,-9.1
Ager,2%,8.4,21.5,-13.0,-14.2,-4.8,-9.4,-11.6
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Richardson,79%,20.9,16.7,+4.2,-3.5,-7.7,+4.2,+4.2
Wallace,60%,19.9,18.1,+1.7,-2.3,-7.4,+5.0,+3.1
Felton,75%,15.7,15.6,+0.0,-3.3,-7.2,+3.9,+1.6
Okafor,68%,19.6,19.5,+0.0,-4.4,-4.3,-0.1,-0.0
Dudley,35%,15.4,18.3,-3.0,-1.5,-5.9,+4.4,-0.0
Carroll,51%,12.2,16.1,-4.0,-2.3,-6.4,+4.1,-0.7
Harrington,4%,6.8,17.9,-11.1,+5.5,-4.8,+10.2,-2.6
Mohammed,36%,18.2,19.5,-1.3,-8.7,-1.9,-6.9,-3.5
Boykins,15%,11.4,17.2,-5.8,-7.4,-3.8,-3.6,-4.9
Herrmann,4%,13.9,18.3,-4.3,-12.1,-4.0,-8.1,-5.9
Hollins,13%,12.7,23.9,-11.2,-3.3,-4.5,+1.1,-6.2
McInnis,35%,7.5,17.4,-9.9,-7.6,-2.6,-5.0,-7.9
Anderson,10%,11.6,20.2,-8.6,-12.9,-3.4,-9.5,-9.0
Davidson,8%,11.2,22.7,-11.5,-10.3,-3.8,-6.5,-9.5
Brezec,7%,2.1,25.4,-23.3,-10.3,-3.9,-6.4,-16.6
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Khryapa,3%,11.3,2.8,+8.5,+6.9,-3.3,+10.2,+9.2
Noah,39%,17.3,16.4,+0.9,-0.8,-4.5,+3.7,+2.0
Deng,54%,19.2,15.8,+3.4,-3.5,-2.5,-1.0,+1.6
Thomas,34%,16.6,16.0,+0.6,-1.2,-4.0,+2.8,+1.5
Smith,29%,18.9,16.5,+2.4,-3.1,-3.1,-0.0,+1.4
Griffin,6%,9.7,12.4,-2.7,+2.8,-3.4,+6.2,+0.9
Gooden,14%,19.4,16.6,+2.8,-6.1,-2.6,-3.5,+0.3
Nocioni,51%,15.6,15.8,-0.2,-2.8,-3.3,+0.5,+0.1
Hughes,20%,14.1,14.8,-0.7,-4.1,-2.8,-1.4,-0.9
Gordon,58%,18.6,18.7,-0.1,-4.9,-0.6,-4.3,-1.7
Sefolosha,36%,13.0,16.0,-3.0,-3.3,-2.9,-0.4,-1.9
Duhon,38%,12.6,17.0,-4.5,-2.1,-3.6,+1.5,-2.1
Hinrich,60%,14.9,19.2,-4.2,-2.9,-3.2,+0.3,-2.4
Wallace,41%,13.2,16.7,-3.4,-3.8,-2.6,-1.2,-2.5
Gray,15%,15.7,22.1,-6.4,-1.8,-3.3,+1.5,-3.2
Gardner,1%,5.4,18.6,-13.1,-9.7,-3.0,-6.7,-10.6
Nichols,1%,8.2,23.1,-14.9,-17.3,-3.0,-14.3,-14.7
Simmons,0%,-8.7,24.7,-33.4,-27.5,-2.9,-24.5,-29.8
Brown,1%,-12.2,30.8,-42.9,-37.4,-2.9,-34.6,-39.6
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
James,76%,32.7,13.5,+19.2,+2.2,-8.4,+10.6,+15.8
Ilgauskas,56%,21.1,15.2,+5.8,+1.2,-2.3,+3.5,+4.9
Smith,15%,16.7,16.1,+0.6,+4.5,-1.2,+5.7,+2.7
West,20%,15.9,16.0,-0.1,+1.8,-0.9,+2.8,+1.1
Szczerbiak,14%,11.8,13.2,-1.4,+1.1,-0.6,+1.7,-0.2
Varejao,33%,13.6,17.3,-3.7,+2.7,-1.8,+4.5,-0.4
Gibson,44%,13.3,17.6,-4.3,+2.6,-2.7,+5.3,-0.5
Wallace,15%,13.9,15.9,-2.1,-0.1,-0.4,+0.3,-1.1
Dickens,0%,7.8,7.3,+0.4,-4.1,-0.3,-3.7,-1.2
Da.Jones,34%,12.9,19.2,-6.3,+2.2,-1.7,+3.9,-2.2
Marshall,4%,9.6,11.3,-1.7,-4.3,-0.2,-4.1,-2.7
Gooden,39%,14.3,19.4,-5.1,-1.3,+0.2,-1.5,-3.6
D.Brown,44%,12.9,18.1,-5.2,-1.1,+0.3,-1.4,-3.7
Hughes,30%,13.4,16.8,-3.4,-4.3,+1.4,-5.7,-4.3
Pavlovic,30%,8.4,16.5,-8.0,-2.3,+0.5,-2.8,-6.0
Dw.Jones,12%,12.1,22.6,-10.5,-4.8,+0.2,-5.0,-8.3
Newble,16%,11.3,17.6,-6.3,-12.5,+2.0,-14.6,-9.6
Snow,8%,3.5,18.2,-14.7,-11.3,+0.6,-11.9,-13.6
Thomas,1%,0.8,18.9,-18.1,-8.6,-0.3,-8.3,-14.2
S.Brown,5%,9.4,24.3,-15.0,-13.9,+0.4,-14.3,-14.7
Simmons,2%,2.8,20.3,-17.5,-16.9,-0.1,-16.8,-17.2
Nichols,1%,-11.2,31.1,-42.3,-40.6,-0.1,-40.5,-41.5
,,Production,Production,Production,On Court/Off Court,On Court/Off Court,On Court/Off Court,Roland
Player,Min,Own,Opp,Net,On,Off,Net,Rating
Nowitzki,70%,28.0,16.1,+12.0,+8.3,-4.4,+12.7,+12.3
Fazekas,0%,16.1,0.3,+15.8,+0.0,+4.5,-4.5,+7.7
Jo.Howard,70%,20.9,14.2,+6.7,+7.2,-1.8,+9.1,+7.6
Kidd,26%,21.0,15.0,+6.0,+6.9,+3.7,+3.2,+4.9
Terry,65%,20.2,14.9,+5.3,+5.7,+2.3,+3.4,+4.6
Harris,30%,20.4,18.7,+1.6,+8.8,+2.7,+6.1,+3.4
