Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1920,CHI,Harrison,15%,24.0,18.3,+5.7,+6.5,-4.9,+11.4,+7.6
1920,CHI,LaVine,67%,26.2,17.9,+8.4,-4.5,-0.4,-4.0,+4.2
1920,CHI,PorterJr.,11%,21.2,20.5,+0.6,+3.4,-3.9,+7.3,+2.8
1920,CHI,Satoransky,60%,18.1,17.3,+0.8,-1.8,-5.1,+3.3,+1.6
1920,CHI,Strus,0%,40.1,18.2,+21.9,+122.7,-3.4,+126.1,+0.2
1920,CHI,Valentine,15%,17.8,17.5,+0.4,-4.3,-2.9,-1.4,-0.2
1920,CHI,Dunn,41%,16.4,20.1,-3.7,-1.0,-4.6,+3.6,-1.3
1920,CHI,Markkanen,48%,19.5,22.4,-2.9,-2.3,-3.9,+1.6,-1.4
1920,CHI,White,53%,16.3,17.1,-0.8,-4.8,-1.2,-3.5,-1.7
1920,CHI,Mokoka,3%,10.8,27.7,-16.9,+22.4,-4.0,+26.4,-2.5
1920,CHI,Gafford,19%,21.0,25.9,-4.9,-2.4,-3.3,+0.9,-3.0
1920,CHI,CarterJr.,40%,20.7,28.2,-7.5,-0.9,-4.6,+3.7,-3.8
1920,CHI,Hutchison,17%,17.0,20.5,-3.5,-13.3,-1.1,-12.2,-6.4
1920,CHI,Arcidiacono,30%,12.3,22.0,-9.7,-4.3,-2.6,-1.7,-7.1
1920,CHI,Felicio,12%,16.8,26.0,-9.2,-7.1,-2.6,-4.6,-7.6
1920,CHI,Kornet,18%,16.9,28.1,-11.2,-3.8,-3.0,-0.8,-7.7
1920,CHI,T.Young,51%,14.0,22.8,-8.8,-6.5,+0.4,-6.9,-8.2
