Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1920,IND,Warren,62%,22.0,14.1,+7.9,+2.8,+0.6,+2.2,+6.0
1920,IND,Sabonis,61%,25.2,19.3,+5.9,+3.6,-0.6,+4.2,+5.3
1920,IND,Brogdon,47%,21.5,16.0,+5.4,+2.6,+1.4,+1.2,+4.0
1920,IND,McDermott,39%,17.4,14.9,+2.5,+3.7,+0.9,+2.8,+2.6
1920,IND,McConnell,38%,19.9,18.3,+1.6,+1.9,+2.0,-0.1,+1.0
1920,IND,Mitrou-Long,1%,10.1,8.6,+1.5,+21.4,+1.7,+19.7,+0.1
1920,IND,Johnson,3%,16.8,20.9,-4.1,+10.7,+1.7,+9.0,+0.0
1920,IND,J.Holiday,52%,11.8,13.8,-2.0,+0.9,+3.2,-2.3,-2.1
1920,IND,Oladipo,15%,13.9,15.8,-1.9,-0.4,+2.4,-2.8,-2.2
1920,IND,Sumner,13%,12.4,13.2,-0.8,-3.0,+2.7,-5.7,-2.4
1920,IND,Lamb,37%,17.0,19.1,-2.0,-0.0,+3.2,-3.2,-2.4
1920,IND,A.Holiday,46%,12.0,18.2,-6.2,+3.4,+0.7,+2.7,-3.2
1920,IND,Turner,52%,17.8,22.3,-4.5,-0.1,+4.2,-4.3,-4.4
1920,IND,J.Sampson,13%,13.0,20.5,-7.4,+2.1,+2.0,+0.1,-4.9
1920,IND,BowenII,1%,0.6,17.6,-17.0,+20.8,+1.8,+19.0,-5.0
1920,IND,Bitadze,13%,14.4,20.3,-5.9,-1.5,+2.5,-4.0,-5.3
1920,IND,Leaf,6%,15.8,24.4,-8.6,+1.8,+2.0,-0.2,-5.8
