Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1920,MIN,Towns,38%,35.9,24.7,+11.2,-0.6,-6.6,+6.0,+9.5
1920,MIN,Russell,13%,24.1,21.5,+2.6,-2.8,-4.5,+1.8,+2.3
1920,MIN,Wiggins,47%,21.8,20.2,+1.6,-4.0,-4.6,+0.7,+1.3
1920,MIN,Beasley,15%,22.3,18.9,+3.4,-8.2,-3.7,-4.5,+0.7
1920,MIN,Nowell,5%,14.3,15.3,-1.0,+3.6,-4.7,+8.3,+0.2
1920,MIN,Evans,0%,-12.3,-17.4,+5.1,+117.1,-4.5,+121.6,+0.1
1920,MIN,Vanderbilt,0%,15.6,-2.6,+18.2,-106.7,-4.2,-102.5,+0.0
1920,MIN,Dieng,25%,24.0,22.9,+1.1,-6.4,-3.6,-2.8,-0.2
1920,MIN,Covington,45%,18.4,21.4,-3.0,-1.5,-6.7,+5.2,-0.2
1920,MIN,Bell,8%,19.1,21.4,-2.3,-1.7,-4.5,+2.9,-0.6
1920,MIN,Teague,30%,21.4,22.9,-1.5,-3.5,-4.7,+1.2,-0.6
1920,MIN,Napier,28%,19.0,21.5,-2.5,-3.8,-4.5,+0.7,-1.5
1920,MIN,McLaughlin,19%,22.1,23.4,-1.4,-5.8,-4.0,-1.8,-1.5
1920,MIN,Culver,48%,12.9,17.4,-4.5,-3.4,-5.2,+1.8,-2.4
1920,MIN,Reid,16%,20.7,27.5,-6.8,+0.6,-5.3,+5.8,-2.6
1920,MIN,Vonleh,11%,21.1,24.4,-3.4,-6.8,-4.0,-2.8,-3.2
1920,MIN,Bates-Diop,21%,16.9,17.4,-0.5,-12.4,-2.2,-10.2,-3.7
1920,MIN,Okogie,50%,15.5,20.5,-5.0,-5.1,-3.5,-1.6,-3.9
1920,MIN,Layman,16%,13.6,24.3,-10.7,+2.1,-5.6,+7.7,-4.5
1920,MIN,Martin,16%,12.7,21.1,-8.4,-2.2,-4.7,+2.6,-4.8
1920,MIN,Hernangomez,13%,19.5,25.3,-5.8,-7.5,-3.8,-3.7,-5.1
1920,MIN,J.Johnson,11%,20.4,24.3,-3.9,-13.6,-3.2,-10.4,-6.0
1920,MIN,Graham,21%,8.3,20.1,-11.8,-8.1,-3.3,-4.8,-9.5
1920,MIN,Crabbe,4%,1.8,25.7,-23.9,-20.9,-3.6,-17.3,-21.7
