Year,Team,Player,Min,Own,Opp,Net,On,Off,Net,Rating
1920,NOP,Williamson,19%,28.5,18.8,+9.6,+4.5,-2.7,+7.2,+8.8
1920,NOP,Favors,36%,22.2,19.9,+2.3,+4.5,-4.5,+9.1,+4.6
1920,NOP,Ingram,60%,22.7,16.8,+5.9,-1.0,-1.7,+0.7,+4.2
1920,NOP,Holiday,61%,20.3,17.0,+3.3,+0.8,-4.6,+5.4,+4.0
1920,NOP,Redick,45%,18.5,14.8,+3.7,-0.7,-1.8,+1.1,+2.8
1920,NOP,Thornwell,1%,17.2,3.8,+13.4,-4.1,-1.3,-2.8,+0.1
1920,NOP,Miller,0%,0.0,0.0,+0.0,+0.0,-1.3,+1.3,+0.0
1920,NOP,Ball,58%,15.9,18.5,-2.7,-0.6,-2.2,+1.6,-1.2
1920,NOP,Moore,29%,13.6,15.6,-2.1,-2.3,-0.9,-1.3,-1.8
1920,NOP,Hayes,31%,20.8,24.1,-3.3,-2.6,-0.7,-1.9,-2.8
1920,NOP,Hart,50%,14.7,17.5,-2.8,-3.1,+0.5,-3.7,-3.1
1920,NOP,Gray,1%,-5.9,-7.5,+1.6,-15.0,-1.2,-13.8,-3.5
1920,NOP,Williams,24%,9.0,15.1,-6.1,-1.5,-1.2,-0.3,-4.2
1920,NOP,Okafor,13%,21.6,23.0,-1.4,-10.6,+0.1,-10.7,-4.5
1920,NOP,Melli,30%,13.7,20.1,-6.4,-4.1,-0.1,-4.0,-5.6
1920,NOP,Alexander-Walker,17%,10.9,21.0,-10.1,-4.7,-0.6,-4.0,-8.1
1920,NOP,Jackson,23%,10.9,23.3,-12.4,-3.6,-0.6,-3.0,-9.3
1920,NOP,Cheatham,1%,7.9,27.4,-19.5,-27.1,-0.9,-26.1,-21.7
