Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1920,PHO,Booker,71%,24.9,16.2,+8.7,+2.5,-5.6,+8.1,+8.5
1920,PHO,Ayton,35%,24.0,21.9,+2.1,+3.9,-1.8,+5.6,+3.3
1920,PHO,Rubio,57%,20.1,20.0,+0.1,+3.5,-4.2,+7.8,+2.6
1920,PHO,Bridges,58%,15.6,15.1,+0.5,+2.8,-3.3,+6.1,+2.4
1920,PHO,Payne,5%,19.0,12.9,+6.1,+23.6,-1.1,+24.7,+1.2
1920,PHO,OubreJr.,55%,18.2,15.8,+2.4,-0.7,+1.4,-2.1,+0.9
1920,PHO,C.Johnson,36%,13.8,16.2,-2.3,+0.4,+0.1,+0.3,-1.4
1920,PHO,Saric,46%,17.3,18.1,-0.8,-2.1,+2.2,-4.3,-2.0
1920,PHO,Carter,27%,13.6,16.8,-3.2,-0.6,+0.5,-1.1,-2.5
1920,PHO,Diallo,13%,20.4,22.0,-1.6,-4.9,+1.0,-5.9,-3.0
1920,PHO,Okobo,20%,13.2,17.4,-4.2,-4.4,+1.4,-5.8,-4.7
1920,PHO,Bolden,1%,9.3,26.3,-17.0,+19.6,+0.0,+19.5,-4.8
1920,PHO,Kaminsky,22%,17.4,24.2,-6.8,-0.6,+0.4,-1.0,-4.9
1920,PHO,Baynes,27%,18.3,25.2,-6.9,-2.4,+1.2,-3.6,-5.8
1920,PHO,T.Johnson,15%,8.4,17.3,-8.9,-9.5,+1.9,-11.4,-9.7
1920,PHO,Jerome,9%,9.8,22.1,-12.3,-15.3,+1.8,-17.1,-13.9
1920,PHO,Lecque,1%,3.6,21.0,-17.5,-31.5,+0.5,-32.0,-21.7
1920,PHO,Harper,0%,-7.1,31.4,-38.4,-76.0,+0.4,-76.3,-35.6
1920,PHO,Owens,0%,9.7,58.1,-48.3,-52.4,+0.4,-52.9,-42.2
