Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
1920,TOR,Siakam,61%,21.9,16.7,+5.2,+9.2,+1.8,+7.4,+5.9
1920,TOR,Boucher,24%,24.7,18.2,+6.5,+5.9,+6.5,-0.5,+4.2
1920,TOR,Lowry,60%,21.6,15.7,+5.8,+6.4,+6.2,+0.2,+3.9
1920,TOR,Powell,43%,20.4,15.0,+5.4,+4.9,+7.4,-2.5,+2.8
1920,TOR,Davis,35%,16.9,14.8,+2.1,+8.1,+5.4,+2.7,+2.3
1920,TOR,Hollis-Jefferson,32%,18.1,14.7,+3.5,+3.5,+7.7,-4.2,+0.9
1920,TOR,Watson,2%,21.6,14.3,+7.3,+16.4,+6.1,+10.2,+0.8
1920,TOR,VanVleet,55%,19.8,17.3,+2.5,+5.2,+7.7,-2.6,+0.8
1920,TOR,Brissett,4%,8.2,7.4,+0.8,+12.6,+6.1,+6.5,+0.3
1920,TOR,Hernandez,1%,16.6,12.1,+4.5,+20.2,+6.2,+14.0,+0.1
1920,TOR,Gasol,33%,14.5,18.1,-3.6,+11.3,+3.9,+7.4,+0.1
1920,TOR,Ibaka,43%,21.1,18.2,+2.9,+3.1,+8.7,-5.6,+0.1
1920,TOR,Miller,5%,8.4,15.4,-7.0,+18.6,+5.7,+12.9,-0.4
1920,TOR,Anunoby,59%,16.1,17.2,-1.1,+6.5,+6.1,+0.3,-0.6
1920,TOR,Thomas,13%,16.2,18.6,-2.4,+7.2,+6.2,+1.0,-1.3
1920,TOR,McCaw,26%,8.9,14.4,-5.5,+0.1,+8.5,-8.4,-6.5
1920,TOR,Johnson,4%,12.6,22.2,-9.6,+4.0,+6.4,-2.5,-7.2
1920,TOR,Ponds,0%,44.1,59.4,-15.3,+0.0,+6.3,-6.3,-12.3
